season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2014,CA Lynn,Kolkata Knight Riders,32,25,128.0,3,2,20.0,12,48.0,0.0027430013488855,0.4583922520795438,0.4951733824814344,0.5290710736912995,0.295497227128136,0.4939435720337931,powerplay,CA Lynn,2014,25181238.9881,1.9615538864756332,0.023979879337513083
2017,BA Stokes,Lucknow Super Giants,33,28,117.86,3,1,14.29,11,39.29,0.0213178243869364,0.3041129524241266,0.2897977840875488,0.4836496750002352,0.1544248360609388,0.352871180966596,powerplay,BA Stokes,2017,226171030.392,0.1560196194689475,0.00017958410558919317
2015,Yuvraj Singh,Delhi Capitals,32,27,118.52,6,0,22.22,14,51.85,0.0363877098888204,0.3398065289972984,0.4784041901029337,0.6691859762220888,0.2135395250893992,0.4119858699950562,powerplay,Yuvraj Singh,2015,279285339.632,0.1475143201350665,6.746846265661637e-05
2018,KL Rahul,Punjab Kings,316,198,159.6,37,15,26.26,72,36.36,0.7281988902449631,0.512796843048769,0.540124608450858,0.3911889361930313,0.9646569266653318,1.1631032715709888,powerplay,KL Rahul,2018,164158077.92999998,0.7085263705798002,0.007462649309258736
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83,0.0200399379977478,0.5770475471452899,0.6661568749880858,0.5797451248394754,0.4304027802636392,0.6288491251692963,powerplay,SN Khan,2022,2487556.9016,25.2797885654322,0.3313575236103798
2022,SN Khan,Delhi Capitals,38,23,165.22,5,2,30.43,11,47.83,0.0200399379977478,0.5770475471452899,0.6661568749880858,0.5797451248394754,0.4304027802636392,0.6288491251692963,powerplay,SN Khan,2022,111940060.572,0.5617730792318266,0.0055281683502632455
2025,Naman Dhir,Mumbai Indians,40,19,210.53,3,3,31.58,3,15.79,0.0776557794345833,0.6411395514589155,0.5583647228656229,0.0,0.6339585245666548,0.8324048694723118,powerplay,Naman Dhir,2025,55098750.00000001,1.5107509144441784,0.018037458846339085
2018,CH Gayle,Punjab Kings,239,148,161.49,28,15,29.05,68,45.95,0.5386894666591296,0.5218447119717745,0.5995538584154229,0.5910090164336145,0.784370460670047,0.982816805575704,powerplay,CH Gayle,2018,29846923.26,3.2928580176062816,0.041528940545262516
2025,AK Markram,Lucknow Super Giants,249,149,167.11,25,13,25.5,47,31.54,0.5144642303033697,0.4453044834441879,0.4419824135481534,0.3512699102701024,0.7277347389804282,0.9261810838860852,powerplay,AK Markram,2025,20990000.000000004,4.412487298170963,0.056287734058455524
2023,PD Salt,Delhi Capitals,120,71,169.01,15,5,28.17,24,33.8,0.2308542068338473,0.5092840729849912,0.538259083005712,0.3720350278196948,0.5699314809662355,0.7683778258718925,powerplay,PD Salt,2023,23661722.646,3.247345247712919,0.04092899770281486
2025,PD Salt,Royal Challengers Bengaluru,282,143,197.2,35,15,34.97,44,30.77,0.5834339857037045,0.5810179149633761,0.6232555170409882,0.3340967146568974,0.9374921143160272,1.135938459221684,powerplay,PD Salt,2025,120692500.0,0.9411839668758905,0.01052950856581374
2025,A Raghuvanshi,Kolkata Knight Riders,87,53,164.15,11,3,26.42,17,32.08,0.175885431065363,0.4319541425569564,0.4595928945632968,0.3633134500507916,0.4545081836690147,0.6529545285746718,powerplay,A Raghuvanshi,2025,31485000.000000004,2.07385907122335,0.02546027026772937
2021,VR Iyer,Kolkata Knight Riders,204,164,124.39,21,7,17.07,67,40.85,0.4544744366994874,0.3745419263242579,0.378036077298637,0.4633593968666927,0.5819589282460977,0.7804052731517548,powerplay,VR Iyer,2021,2652233.1686,29.424459447647177,0.3859919841345841
2014,DR Smith,Chennai Super Kings,290,217,133.64,26,18,20.28,89,41.01,0.7955506403379703,0.4937457345298807,0.5035125402185938,0.3787760243227792,0.99626121533685,1.194707560242507,powerplay,DR Smith,2014,87165827.2665,1.3706146063294038,0.01619020201671773
2017,MK Tiwary,Lucknow Super Giants,33,31,106.45,3,1,12.9,12,38.71,0.0213178243869364,0.2426676136025702,0.2588221210687182,0.4702286818165008,0.1137894162468072,0.3122357611524643,powerplay,MK Tiwary,2017,7799001.048,4.003535314725147,0.05089698733071411
2025,V Shankar,Chennai Super Kings,32,23,139.13,3,1,17.39,8,34.78,0.0609358387314719,0.3191076800574519,0.2867421950342262,0.4235311489542378,0.2102771540930339,0.408723498998691,powerplay,V Shankar,2025,12594000.000000002,3.245382713980395,0.040903127863017176
2016,KP Pietersen,Lucknow Super Giants,31,24,129.17,3,1,16.67,7,29.17,0.0338073194535872,0.4007163859823709,0.3591165327519227,0.2364840598190586,0.3180612703467028,0.51650761525236,powerplay,KP Pietersen,2016,57273523.99649999,0.901826147949136,0.010010699409289494
2025,JC Buttler,Gujarat Titans,108,79,136.71,10,5,18.99,33,41.77,0.2197752754110306,0.3081928743320801,0.3173691185388234,0.5794280805598261,0.2989043366693873,0.4973506815750444,powerplay,JC Buttler,2025,165296250.00000003,0.3008844311804075,0.002089171395320231
2014,PA Patel,Royal Challengers Bengaluru,108,104,103.85,17,1,17.31,54,51.92,0.2362832360898562,0.3070116490342182,0.4150579027922964,0.613356709388667,0.3453014568289273,0.5437478017345845,powerplay,PA Patel,2014,27118257.3718,2.005098610429232,0.02455387967903329
2023,AM Rahane,Chennai Super Kings,141,74,190.54,13,7,27.03,13,17.57,0.2760459877775286,0.6044738549991274,0.5141461812550233,0.080752816123732,0.7302136544492275,0.9286599993548844,powerplay,AM Rahane,2023,5915430.661499999,15.698941505628271,0.20506416393170745
2025,D Padikkal,Royal Challengers Bengaluru,91,55,165.45,7,7,25.45,22,40.0,0.1842454014169188,0.4378174679466188,0.4410253221886347,0.5399520335009003,0.40278084004146,0.6012271849471171,powerplay,D Padikkal,2025,20990000.000000004,2.8643505714488664,0.03588041649673697
2014,RG Sharma,Mumbai Indians,37,40,92.5,3,2,12.5,22,55.0,0.018107490476581,0.2358658997768912,0.2718030859503806,0.6795811374365988,0.050855989716402,0.2493023346220591,powerplay,RG Sharma,2014,36803349.2903,0.6773903447091052,0.007052218656341853
2025,KK Nair,Delhi Capitals,104,60,173.33,12,6,30.0,24,40.0,0.2114153050594749,0.4733582403085732,0.5281206359048332,0.5399520335009003,0.4814800403087714,0.6799263852144285,powerplay,KK Nair,2025,5247500.000000001,12.957148836863809,0.1689222439616684
2024,T Kohler-Cadmore,Rajasthan Royals,42,48,87.5,6,1,14.58,29,60.42,0.0648641861936908,0.1745808015253095,0.2778303092668602,0.9839014857885472,-0.0309650568488695,0.1674812880567875,powerplay,T Kohler-Cadmore,2024,4435187.0,3.776194511230023,0.04790021327866744
2014,KL Rahul,Sunrisers Hyderabad,64,56,114.29,6,1,12.5,20,35.71,0.1010757317661363,0.3724532016550547,0.2718030859503806,0.2648184046299098,0.3099530535291348,0.5083993984347919,powerplay,KL Rahul,2014,19370183.837,2.6246493203831744,0.03272070878745988
2022,Ishan Kishan,Mumbai Indians,227,191,118.85,29,4,17.28,83,43.46,0.5611182639369384,0.3348756015765882,0.3556911950098002,0.4822656235775752,0.6317137626189824,0.8301601075246394,powerplay,Ishan Kishan,2022,189676213.747,0.4376722263298391,0.003892288604542571
2013,RT Ponting,Mumbai Indians,42,47,89.36,3,1,8.51,20,42.55,0.0559361959115916,0.2506547551074594,0.1795963817628523,0.3726310681585989,0.1391053856287069,0.337551730534364,powerplay,RT Ponting,2013,49252953.84752,0.6853431198855101,0.007157051004622534
2018,RA Tripathi,Rajasthan Royals,78,47,165.96,8,4,25.53,16,34.04,0.1424424900705689,0.5432436400595173,0.5245750197504522,0.3428487290858204,0.5187799522481712,0.7172262971538284,powerplay,RA Tripathi,2018,50739769.542,1.413538736237543,0.01675602177602966
2016,RR Pant,Delhi Capitals,49,39,125.64,7,0,17.95,14,35.9,0.0764334671154846,0.3810263350656174,0.392774892018003,0.384953567994957,0.3129225722348106,0.5113689171404677,powerplay,RR Pant,2016,31091341.5981,1.644730947125542,0.0198035645311045
2018,SV Samson,Rajasthan Royals,134,102,131.37,13,3,15.69,36,35.29,0.2802675254057205,0.3776532770718158,0.3149750843915568,0.368894099294447,0.4441112170483506,0.6425575619540078,powerplay,SV Samson,2018,119387693.04,0.5382108872299958,0.0052175748953494526
2022,Anuj Rawat,Royal Challengers Bengaluru,83,73,113.7,7,4,15.07,34,46.58,0.1488681108404122,0.3079792134015006,0.303514073127518,0.5518619723046069,0.2441068365890812,0.4425531814947383,powerplay,Anuj Rawat,2022,42288467.3272,1.0465103359517771,0.011917905743048483
2020,SA Yadav,Mumbai Indians,175,117,149.57,28,3,26.5,43,36.75,0.3984196663709136,0.5635661597275518,0.6694413335541229,0.3338177557566264,0.8016220863328741,1.0000684312385313,powerplay,SA Yadav,2020,2778744.6906,35.98993583763148,0.472537157646527
2018,AM Rahane,Rajasthan Royals,209,173,120.81,28,2,17.34,61,35.26,0.4648546263010127,0.3271001046766111,0.3501214150157619,0.3682690104094399,0.5825076870133766,0.7809540319190338,powerplay,AM Rahane,2018,59693846.52,1.3082655540674208,0.01536832570100206
2025,MR Marsh,Lucknow Super Giants,297,179,165.92,25,20,25.14,65,36.31,0.6147838745220384,0.4399372855874968,0.435091355759619,0.4576545116661906,0.7702904990033507,0.9687368439090078,powerplay,MR Marsh,2025,35683000.0,2.7148413639800686,0.033909607444440444
2014,F du Plessis,Chennai Super Kings,90,53,169.81,13,3,30.19,18,33.96,0.1809710752301527,0.720471879960499,0.7986591587016262,0.2271908886935849,0.796252154972028,0.9946984998776852,powerplay,F du Plessis,2014,92008373.22575,1.0810956275002404,0.012373804124251868
2025,Abhishek Sharma,Sunrisers Hyderabad,277,137,202.19,33,17,36.5,50,36.5,0.5729840227642599,0.6035240639590806,0.6525425126422594,0.4618920534408775,0.9152257648477018,1.1136721097533588,powerplay,Abhishek Sharma,2025,3148500.0000000005,35.371513728866404,0.4643852055980294
2025,Abhishek Sharma,Sunrisers Hyderabad,277,137,202.19,33,17,36.5,50,36.5,0.5729840227642599,0.6035240639590806,0.6525425126422594,0.4618920534408775,0.9152257648477018,1.1136721097533588,powerplay,Abhishek Sharma,2025,39881000.00000001,2.792487925963137,0.0349331333518189
