season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2022,RD Gaikwad,Chennai Super Kings,179,142,126.06,19,7,18.31,61,42.96
2024,WP Saha,Gujarat Titans,107,79,135.44,14,3,21.52,28,35.44
2025,BKG Mendis,Gujarat Titans,18,8,225.0,1,2,37.5,3,37.5
2025,Naman Dhir,Mumbai Indians,40,19,210.53,3,3,31.58,3,15.79
2014,BB McCullum,Chennai Super Kings,205,161,127.33,20,9,18.01,68,42.24
2025,MA Agarwal,Royal Challengers Bengaluru,32,27,118.52,3,1,14.81,12,44.44
2024,Tanush Kotian,Rajasthan Royals,14,20,70.0,2,0,10.0,12,60.0
2021,DJ Malan,Punjab Kings,3,4,75.0,0,0,0.0,1,25.0
2019,CA Lynn,Kolkata Knight Riders,244,163,149.69,27,14,25.15,72,44.17
2015,YK Pathan,Kolkata Knight Riders,27,20,135.0,3,1,20.0,8,40.0
2013,DPMD Jayawardene,Delhi Daredevils,136,129,105.43,20,2,17.05,69,53.49
2016,GJ Bailey,Rising Pune Supergiants,42,56,75.0,7,0,12.5,34,60.71
2024,KL Rahul,Lucknow Super Giants,277,207,133.82,24,13,17.87,74,35.75
2021,Shubman Gill,Kolkata Knight Riders,253,204,124.02,28,6,16.67,80,39.22
2020,MM Ali,Royal Challengers Bangalore,5,5,100.0,1,0,20.0,3,60.0
2020,Gurkeerat Singh,Royal Challengers Bangalore,0,4,0.0,0,0,0.0,4,100.0
2020,R Tewatia,Rajasthan Royals,4,8,50.0,0,0,0.0,4,50.0
2025,AK Markram,Lucknow Super Giants,249,149,167.11,25,13,25.5,47,31.54
2023,SP Narine,Kolkata Knight Riders,0,1,0.0,0,0,0.0,1,100.0
2023,PD Salt,Delhi Capitals,120,71,169.01,15,5,28.17,24,33.8
2021,Q de Kock,Mumbai Indians,165,125,132.0,16,7,18.4,46,36.8
2015,JP Duminy,Delhi Daredevils,128,116,110.34,11,5,13.79,49,42.24
2019,SM Curran,Kings XI Punjab,20,10,200.0,3,1,40.0,5,50.0
2018,KL Rahul,Kings XI Punjab,316,198,159.6,37,15,26.26,72,36.36
2024,Shahbaz Ahmed,Sunrisers Hyderabad,6,6,100.0,0,0,0.0,1,16.67
2016,NV Ojha,Sunrisers Hyderabad,8,12,66.67,1,0,8.33,7,58.33
2023,C Green,Mumbai Indians,199,119,167.23,23,8,26.05,36,30.25
2022,M Vohra,Lucknow Super Giants,19,11,172.73,1,2,27.27,4,36.36
2013,AP Tare,Mumbai Indians,75,51,147.06,9,4,25.49,25,49.02
2024,SP Narine,Kolkata Knight Riders,286,162,176.54,32,18,30.86,61,37.65
2021,SS Iyer,Delhi Capitals,28,47,59.57,1,0,2.13,25,53.19
2015,RS Bopara,Sunrisers Hyderabad,2,2,100.0,0,0,0.0,0,0.0
2023,F du Plessis,Royal Challengers Bangalore,376,218,172.48,39,19,26.61,61,27.98
2024,MA Agarwal,Sunrisers Hyderabad,55,43,127.91,7,1,18.6,18,41.86
2017,CJ Anderson,Delhi Daredevils,12,15,80.0,2,0,13.33,9,60.0
2023,JC Buttler,Rajasthan Royals,200,142,140.85,25,7,22.54,58,40.85
2022,KS Williamson,Sunrisers Hyderabad,114,128,89.06,12,3,11.72,64,50.0
2017,SV Samson,Delhi Daredevils,192,129,148.84,20,8,21.71,44,34.11
2016,CH Gayle,Royal Challengers Bangalore,150,92,163.04,14,12,28.26,43,46.74
2021,Ishan Kishan,Mumbai Indians,98,60,163.33,14,2,26.67,20,33.33
2021,AK Markram,Punjab Kings,9,11,81.82,1,0,9.09,6,54.55
2025,PD Salt,Royal Challengers Bengaluru,282,143,197.2,35,15,34.97,44,30.77
2016,G Gambhir,Kolkata Knight Riders,235,196,119.9,29,2,15.82,64,32.65
2013,TL Suman,Pune Warriors,48,53,90.57,8,0,15.09,30,56.6
2019,RG Sharma,Mumbai Indians,237,180,131.67,31,6,20.56,73,40.56
2025,A Raghuvanshi,Kolkata Knight Riders,87,53,164.15,11,3,26.42,17,32.08
2013,AB de Villiers,Royal Challengers Bangalore,19,15,126.67,2,1,20.0,6,40.0
2025,SB Dubey,Rajasthan Royals,15,8,187.5,2,1,37.5,4,50.0
2025,MJ Owen,Punjab Kings,0,2,0.0,0,0,0.0,2,100.0
2014,SV Samson,Rajasthan Royals,144,120,120.0,14,8,18.33,60,50.0
2023,Shahbaz Ahmed,Royal Challengers Bangalore,3,7,42.86,0,0,0.0,4,57.14
2019,S Dhawan,Delhi Capitals,330,222,148.65,41,10,22.97,75,33.78
2023,KH Pandya,Lucknow Super Giants,36,37,97.3,5,0,13.51,21,56.76
2015,LMP Simmons,Mumbai Indians,247,207,119.32,29,9,18.36,100,48.31
2023,Rahmanullah Gurbaz,Kolkata Knight Riders,125,87,143.68,11,9,22.99,40,45.98
2021,VR Iyer,Kolkata Knight Riders,204,164,124.39,21,7,17.07,67,40.85
2015,SPD Smith,Rajasthan Royals,78,61,127.87,10,0,16.39,17,27.87
2014,WP Saha,Kings XI Punjab,110,86,127.91,13,4,19.77,39,45.35
2018,SK Raina,Chennai Super Kings,168,127,132.28,25,2,21.26,52,40.94
2023,JJ Roy,Kolkata Knight Riders,162,102,158.82,24,6,29.41,44,43.14
2024,Abishek Porel,Delhi Capitals,165,106,155.66,19,8,25.47,47,44.34
2014,DR Smith,Chennai Super Kings,290,217,133.64,26,18,20.28,89,41.01
2024,H Klaasen,Sunrisers Hyderabad,17,12,141.67,1,1,16.67,4,33.33
2013,AD Mathews,Pune Warriors,2,4,50.0,0,0,0.0,2,50.0
2016,C Munro,Kolkata Knight Riders,26,25,104.0,3,0,12.0,9,36.0
2019,MK Lomror,Rajasthan Royals,8,3,266.67,2,0,66.67,1,33.33
2016,KS Williamson,Sunrisers Hyderabad,14,27,51.85,1,0,3.7,18,66.67
2020,N Rana,Kolkata Knight Riders,129,120,107.5,17,4,17.5,62,51.67
2024,N Rana,Kolkata Knight Riders,15,17,88.24,2,0,11.76,7,41.18
2018,Mandeep Singh,Royal Challengers Bangalore,7,6,116.67,1,0,16.67,1,16.67
2016,KK Nair,Delhi Daredevils,143,123,116.26,22,1,18.7,58,47.15
2025,V Shankar,Chennai Super Kings,32,23,139.13,3,1,17.39,8,34.78
2013,PA Reddy,Sunrisers Hyderabad,52,50,104.0,5,0,10.0,17,34.0
2025,SM Curran,Chennai Super Kings,28,29,96.55,3,0,10.34,11,37.93
2020,HH Pandya,Mumbai Indians,1,1,100.0,0,0,0.0,0,0.0
2013,UA Birla,Pune Warriors,7,13,53.85,1,0,7.69,9,69.23
2023,PK Garg,Delhi Capitals,7,10,70.0,0,0,0.0,5,50.0
2015,CM Gautam,Delhi Daredevils,4,5,80.0,0,0,0.0,2,40.0
2019,Gurkeerat Singh,Royal Challengers Bangalore,15,12,125.0,2,0,16.67,4,33.33
2024,Tilak Varma,Mumbai Indians,63,62,101.61,3,3,9.68,26,41.94
2017,SR Watson,Royal Challengers Bangalore,13,16,81.25,2,0,12.5,8,50.0
2020,KL Rahul,Kings XI Punjab,301,228,132.02,32,8,17.54,82,35.96
2024,J Fraser-McGurk,Delhi Capitals,244,86,283.72,25,22,54.65,26,30.23
2013,DJ Hussey,Kings XI Punjab,79,56,141.07,10,2,21.43,22,39.29
