season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2016,RR Pant,Delhi Capitals,118,90,131.11,10,4,15.56,30,33.33,0.2489658709062438,0.27653737602932865,0.30291816226680535,0.5350769136612414,0.2357021592549064,0.3154274223568997,middle,RR Pant,2016,31091341.5981,1.0145185319895478
2014,SPD Smith,Rajasthan Royals,71,68,104.41,3,2,7.35,23,33.82,0.11369170468485806,0.15957520644680612,0.14704851361129656,0.5299309256203772,0.06224944328011214,0.1419747063821054,middle,SPD Smith,2014,77480735.34799999,0.18323871830131025
2018,SV Samson,Rajasthan Royals,239,191,125.13,14,8,11.52,51,26.7,0.44671954270993147,0.22599530065338153,0.2105278105845784,0.39533684834189514,0.38821241681249635,0.46793767991448965,middle,SV Samson,2018,119387693.03999999,0.39194800401889873
2022,SO Hetmyer,Rajasthan Royals,96,98,97.96,8,2,10.2,42,42.86,0.18612071718142315,0.15749396755594372,0.20167197339559273,0.6783346639009366,0.10081222591085287,0.18053748901284614,middle,SO Hetmyer,2022,105721168.318,0.17076758787777033
2022,SS Prabhudessai,Royal Challengers Bengaluru,46,34,135.29,6,1,20.59,13,38.24,0.08038867261863912,0.28083991698998795,0.3538390655849525,0.5906731071413297,0.10119610488063221,0.18092136798262548,middle,SS Prabhudessai,2022,3731335.3524,4.8487029681279274
2020,SA Yadav,Mumbai Indians,256,190,134.74,28,5,17.37,57,30.0,0.5573332224421436,0.32008169877760817,0.371046066229514,0.4437832765276271,0.5273436455273747,0.6070689086293679,middle,SA Yadav,2020,2778744.6906,21.84687606180497
2018,AM Rahane,Rajasthan Royals,105,97,108.25,8,0,8.25,21,21.65,0.19984892033807886,0.14751639455435275,0.1504504677419741,0.29145924343313545,0.17593229949853664,0.2556575626005299,middle,AM Rahane,2018,59693846.519999996,0.42828126767618113
2025,MR Marsh,Lucknow Super Giants,270,157,171.97,27,13,25.48,34,21.66,0.5087585437701769,0.3650147178833851,0.39486249009515567,0.3475061736580732,0.5259825136685736,0.6057077767705669,middle,MR Marsh,2025,35683000.0,1.6974687575892355
2014,F du Plessis,Chennai Super Kings,160,149,107.38,8,1,6.04,38,25.5,0.29887370044130496,0.1743384139506317,0.11982719735391455,0.3314843036572987,0.24906906327755662,0.32879432637954986,middle,F du Plessis,2014,92008373.22575,0.35735261352010467
2020,TK Curran,Rajasthan Royals,41,41,100.0,2,0,4.88,12,29.27,0.06613831913774222,0.1499494874250382,0.10394802789014244,0.4302394658118953,0.03263721395335466,0.11236247705534792,middle,TK Curran,2020,13893723.453,0.8087283256749008
2018,Mandeep Singh,Royal Challengers Bengaluru,105,107,98.13,5,3,7.48,37,34.58,0.19984892033807886,0.10046624468929519,0.13630381514600914,0.5574270516450684,0.10579436237743979,0.18551962547943307,middle,Mandeep Singh,2018,20892846.281999998,0.8879576433741605
2018,Mandeep Singh,Royal Challengers Bengaluru,105,107,98.13,5,3,7.48,37,34.58,0.19984892033807886,0.10046624468929519,0.13630381514600914,0.5574270516450684,0.10579436237743979,0.18551962547943307,middle,Mandeep Singh,2018,2984692.326,6.215703503619123
2014,Y Venugopal Rao,Sunrisers Hyderabad,40,41,97.56,4,0,9.76,13,31.71,0.0491901106573316,0.1255253844261983,0.1971274236725872,0.479603717406183,0.020514445107005605,0.10023970820899887,middle,Y Venugopal Rao,2014,10653601.11035,0.9408997687328067
2024,Azmatullah Omarzai,Gujarat Titans,42,33,127.27,2,2,12.12,10,30.3,0.08127480882148448,0.19150958167716065,0.17771008886480838,0.5169574413657616,0.05462325106014514,0.1343485141621384,middle,Azmatullah Omarzai,2024,5543983.75,2.423320850501021
2025,Abhishek Sharma,Sunrisers Hyderabad,129,57,226.32,10,10,35.09,13,22.81,0.24438814184560992,0.5936221149444818,0.5604458923649019,0.3701553707642168,0.41165525227996946,0.4913805153819627,middle,Abhishek Sharma,2025,3148500.0000000005,15.60681325653367
2025,Abhishek Sharma,Sunrisers Hyderabad,129,57,226.32,10,10,35.09,13,22.81,0.24438814184560992,0.5936221149444818,0.5604458923649019,0.3701553707642168,0.41165525227996946,0.4913805153819627,middle,Abhishek Sharma,2025,39881000.00000001,1.232116836042132
2022,A Badoni,Lucknow Super Giants,75,72,104.17,6,2,11.11,29,40.28,0.14171325846505384,0.17801307674387343,0.21499940880390048,0.6293808075286884,0.08389825005024751,0.16362351315224077,middle,A Badoni,2022,2487556.9016,6.577679209950852
2025,Ishan Kishan,Sunrisers Hyderabad,166,105,158.1,12,9,20.0,24,22.86,0.31376193525843954,0.3066746148983361,0.3004403210589216,0.3711401184644839,0.32887197319514,0.4085972362971333,middle,Ishan Kishan,2025,118068750.00000001,0.34606721617458747
2022,RK Singh,Kolkata Knight Riders,61,58,105.17,5,1,10.34,22,37.93,0.11210828598747433,0.1813172811219619,0.20372234807379394,0.5847910546314858,0.06786807181502967,0.14759333491702292,middle,RK Singh,2022,6840781.479400001,2.1575507909655993
2022,RK Singh,Kolkata Knight Riders,61,58,105.17,5,1,10.34,22,37.93,0.11210828598747433,0.1813172811219619,0.20372234807379394,0.5847910546314858,0.06786807181502967,0.14759333491702292,middle,RK Singh,2022,2487556.9016,5.933264675155398
