season,player,team,phase,adj_price,ROI_z,impact_score_pos
2018,HV Patel,Delhi Capitals,bowl_mid,2984692.326,0.304047058,0.912731398
2022,M Theekshana,Chennai Super Kings,bowl_death,8706449.156,0.303111401,0.994405762
2025,M Shahrukh Khan,Gujarat Titans,bat_mid,3148500,0.301746233,0.387520996
2013,JO Holder,Chennai Super Kings,bowl_pp,2462647.692,0.301374993,0.753779372
2019,M Ashwin,Punjab Kings,bowl_mid,2888505.106,0.301288497,0.87530278
2016,AB Dinda,Lucknow Super Giants,bowl_death,8181932,0.299224768,0.922540882
2023,I Sharma,Delhi Capitals,bowl_death,5915430.661,0.294377456,0.656203355
2016,A Zampa,Lucknow Super Giants,bowl_mid,4909159.2,0.294037379,1.451818329
2017,R Tewatia,Punjab Kings,bowl_mid,3899500.524,0.293591118,1.151474996
2017,SA Yadav,Kolkata Knight Riders,bat_mid,1559800.21,0.2923958,0.186032914
2018,KV Sharma,Chennai Super Kings,bowl_mid,2984692.326,0.291404129,0.87477807
2016,Sachin Baby,Royal Challengers Bengaluru,bat_mid,1636386.4,0.290751534,0.194069621
2024,A Kamboj,Mumbai Indians,bowl_pp,2217593.5,0.290134234,0.65345497
2022,Akash Deep,Royal Challengers Bengaluru,bowl_pp,2487556.902,0.289971733,0.732594135
2024,S Gopal,Mumbai Indians,bowl_pp,2217593.5,0.289270542,0.651509719
2014,P Negi,Chennai Super Kings,bowl_pp,1937018.384,0.287543265,0.56568113
2022,TU Deshpande,Chennai Super Kings,bowl_mid,2487556.902,0.285024024,0.713110954
2019,R Parag,Rajasthan Royals,bowl_mid,2888505.106,0.283682511,0.824153901
2018,S Lamichhane,Delhi Capitals,bowl_pp,2984692.326,0.282756015,0.857128965
2023,KM Asif,Rajasthan Royals,bowl_mid,3549258.397,0.281013514,1.003153612
2015,RG Sharma,Mumbai Indians,bat_death,5236600.118,0.280509675,0.771521072
2025,V Puthur,Mumbai Indians,bowl_pp,3148500,0.279438995,0.893563578
2022,M Shahrukh Khan,Punjab Kings,bat_death,2487556.902,0.278465871,0.363853053
2025,Mukesh Choudhary,Chennai Super Kings,bowl_mid,3148500,0.277673911,0.879308743
2023,Nithish Kumar Reddy,Sunrisers Hyderabad,bowl_mid,2366172.265,0.27698411,0.659179711
2016,S Ladda,Gujarat Titans,bowl_mid,1636386.4,0.275807091,0.453935246
2014,KK Cooper,Rajasthan Royals,bowl_death,5811055.151,0.274803044,0.601854343
2023,MM Sharma,Gujarat Titans,bowl_mid,5915430.661,0.273276897,1.625892779
2022,PJ Sangwan,Gujarat Titans,bowl_pp,2487556.902,0.272434632,0.688287825
2023,M Markande,Sunrisers Hyderabad,bowl_mid,5915430.661,0.270927569,1.61191518
2025,Aniket Verma,Sunrisers Hyderabad,bat_mid,3148500,0.270472667,0.347357567
2023,VG Arora,Kolkata Knight Riders,bowl_death,7098516.794,0.269920589,0.722165609
2021,KS Bharat,Royal Challengers Bengaluru,bat_mid,2652233.169,0.268149955,0.290094245
2022,J Suchith,Sunrisers Hyderabad,bowl_pp,2487556.902,0.265893811,0.67176288
2022,Tilak Varma,Mumbai Indians,bowl_pp,2487556.902,0.26586367,0.671686731
