season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2015,A Mishra,Delhi Capitals,9,198,7.48,64,32.32,22,11.11,0.48953901214012385,0.2780158315247314,0.4277772905718594,0.17452956195264713,0.6053231277714292,1.5333282163689463,middle,A Mishra,2015,61093668.0445,2.5097989127974536
2015,AD Mathews,Delhi Capitals,1,90,7.53,27,30.0,12,13.33,0.06910665558366824,0.2800727112135696,0.4009569760554395,0.20375538573081742,-0.04086216992488496,0.8871429186726323,middle,AD Mathews,2015,130915002.9525,0.677648014868483
2015,CH Morris,Rajasthan Royals,3,42,4.86,23,54.76,4,9.52,0.17421474472278217,0.17023533582961267,0.6871944706358515,0.15359755303044412,0.3005726790051497,1.228577767602667,middle,CH Morris,2015,24437467.2178,5.027434949182392
2015,D Wiese,Royal Challengers Bengaluru,3,126,8.81,27,21.43,23,18.25,0.17421474472278217,0.3327288312478261,0.3018836590702162,0.2685261303202759,0.031998923742922035,0.9600040123404393,middle,D Wiese,2015,48874934.4356,1.9642052177182714
2015,DJ Muthuswami,Delhi Capitals,0,6,8.0,4,66.67,2,33.33,0.016552611014111304,0.2994073802886481,0.8248797921404034,0.46705109544406315,-0.060643269156443164,0.8673618194410742,middle,DJ Muthuswami,2015,13091500.29525,6.62538135339446
2015,DJG Sammy,Royal Challengers Bengaluru,0,12,9.0,1,8.33,2,16.67,0.016552611014111304,0.340544974065411,0.150441365895604,0.2477257692529295,-0.25201980681306657,0.6759852817844507,middle,DJG Sammy,2015,48874934.4356,1.3830919459854456
2015,GB Hogg,Kolkata Knight Riders,2,54,7.56,21,38.89,9,16.67,0.1216607001532252,0.2813068390268724,0.5037296467670657,0.2477257692529295,0.059019319187873634,0.9870244077853909,middle,GB Hogg,2015,8727666.863499999,11.309143935285025
2015,GS Sandhu,Delhi Capitals,0,18,9.67,2,11.11,3,16.67,0.016552611014111304,0.36810716189584214,0.18257950139372783,0.2477257692529295,-0.2644281164279743,0.663576972169543,middle,GS Sandhu,2015,29674067.3359,2.2362184619253074
2015,HH Pandya,Mumbai Indians,1,84,9.64,25,29.76,19,22.62,0.06910665558366824,0.36687303408253924,0.3981824607606375,0.3260562428926201,-0.13559495424086182,0.7924101343566554,middle,HH Pandya,2015,1745533.3727,45.396447111804655
2015,J Suchith,Mumbai Indians,8,162,8.41,49,30.25,26,16.05,0.4369849675705669,0.3162737937371209,0.4038470961541917,0.23956360225181886,0.4756998247620473,1.4037049133595647,middle,J Suchith,2015,1745533.3727,80.41696224852504
2015,J Theron,Rajasthan Royals,0,6,4.0,2,33.33,0,0.0,0.016552611014111304,0.13485700518159657,0.439453375770818,0.028268795206939167,0.04312556606574726,0.9711306546632645,middle,J Theron,2015,5236600.1181,18.54506039723386
