season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2015,DR Smith,Chennai Super Kings,252,196,128.57,33,11,22.45,98,50.00
2016,HM Amla,Punjab Kings,74,60,123.33,7,3,16.67,23,38.33
2025,KS Rathore,Rajasthan Royals,0,3,0.00,0,0,0.00,3,100.00
2020,V Shankar,Sunrisers Hyderabad,4,10,40.00,0,0,0.00,6,60.00
2016,KH Pandya,Mumbai Indians,22,15,146.67,3,1,26.67,8,53.33
2018,MK Pandey,Sunrisers Hyderabad,33,43,76.74,4,0,9.30,25,58.14
2022,DA Miller,Gujarat Titans,18,14,128.57,3,0,21.43,5,35.71
2022,DJ Willey,Royal Challengers Bengaluru,9,14,64.29,1,0,7.14,9,64.29
2020,EJG Morgan,Kolkata Knight Riders,48,46,104.35,8,1,19.57,28,60.87
2023,P Simran Singh,Punjab Kings,192,122,157.38,26,8,27.87,50,40.98
2024,AM Rahane,Chennai Super Kings,144,107,134.58,15,5,18.69,35,32.71
2024,S Dhawan,Punjab Kings,81,65,124.62,10,2,18.46,28,43.08
2022,MJ Santner,Chennai Super Kings,12,19,63.16,1,0,5.26,11,57.89
2019,AD Nath,Royal Challengers Bengaluru,11,10,110.00,0,1,10.00,4,40.00
2016,AP Tare,Sunrisers Hyderabad,8,12,66.67,1,0,8.33,8,66.67
2014,CJ Anderson,Mumbai Indians,40,42,95.24,4,2,14.29,22,52.38
2017,AM Rahane,Lucknow Super Giants,223,171,130.41,23,5,16.37,53,30.99
2022,HH Pandya,Gujarat Titans,104,93,111.83,12,3,16.13,45,48.39
2014,JP Duminy,Delhi Capitals,28,28,100.00,1,1,7.14,15,53.57
2021,AT Rayudu,Chennai Super Kings,0,3,0.00,0,0,0.00,2,66.67
2022,Shahbaz Ahmed,Royal Challengers Bengaluru,5,11,45.45,0,0,0.00,7,63.64
2025,A Mhatre,Chennai Super Kings,176,82,214.63,26,8,41.46,26,31.71
2024,Ishan Kishan,Mumbai Indians,226,120,188.33,27,13,33.33,43,35.83
2019,MP Stoinis,Royal Challengers Bengaluru,1,6,16.67,0,0,0.00,5,83.33
2019,Shubman Gill,Kolkata Knight Riders,97,91,106.59,11,0,12.09,35,38.46
2020,MA Agarwal,Punjab Kings,186,136,136.76,21,5,19.12,43,31.62
2023,A Badoni,Lucknow Super Giants,14,18,77.78,2,0,11.11,10,55.56
2023,M Jansen,Sunrisers Hyderabad,1,1,100.00,0,0,0.00,0,0.00
2022,RA Jadeja,Chennai Super Kings,0,3,0.00,0,0,0.00,3,100.00
2020,SS Iyer,Delhi Capitals,155,144,107.64,20,2,15.28,65,45.14
2020,KL Rahul,Punjab Kings,301,228,132.02,32,8,17.54,82,35.96
2018,Shubman Gill,Kolkata Knight Riders,25,18,138.89,5,0,27.78,8,44.44
2013,DA Miller,Punjab Kings,14,17,82.35,2,0,11.76,9,52.94
2018,SA Yadav,Mumbai Indians,262,190,137.89,31,12,22.63,82,43.16
2016,AJ Finch,Gujarat Titans,120,89,134.83,19,2,23.60,36,40.45
2023,AK Markram,Sunrisers Hyderabad,42,45,93.33,1,2,6.67,20,44.44
