season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2022,DP Conway,Chennai Super Kings,129,72,179.17,12,7,26.39,16,22.22,0.2559038665928606,0.4258284051005119,0.4387831593961446,0.2867038129229524,0.3628874840990805,0.4426127472010738,middle,DP Conway,2022,12437784.508,3.558614051532929,0.08724312355160248
2015,AD Mathews,Delhi Capitals,40,44,90.91,3,1,9.09,19,43.18,0.037899597438844,0.0743704150361211,0.1615227266761888,0.7178740874531351,-0.0586394696934777,0.0210857934085155,middle,AD Mathews,2015,130915002.9525,0.0161064759064827,0.0003948670035978967
2025,Abdul Samad,Lucknow Super Giants,87,50,174.0,4,8,24.0,15,30.0,0.1656395114851005,0.3735533198343331,0.3693616123262457,0.5117620900626279,0.2160975095911039,0.2958227726930972,middle,Abdul Samad,2025,44079000.00000001,0.6711195188028248,0.0164531928017272
2025,KL Rahul,Delhi Capitals,271,172,157.56,21,11,18.6,35,20.35,0.5106335111597129,0.3044032626552267,0.2763178691153581,0.3217057839110748,0.490750204765195,0.5704754678671883,middle,KL Rahul,2025,146930000.0,0.3882634369204303,0.009518681854028946
2025,RD Rickelton,Mumbai Indians,64,42,152.38,5,4,21.43,14,33.33,0.122515261525774,0.2826151059528075,0.3250796826869899,0.5773462869004176,0.1323434201637759,0.2120686832657692,middle,RD Rickelton,2025,10495000.000000002,2.0206639663246238,0.049538678125095076
2022,N Rana,Kolkata Knight Riders,221,142,155.63,14,14,19.72,40,28.17,0.4504508285883832,0.3480474340403083,0.3410974515132736,0.3996012723860825,0.4530741289082373,0.5327993920102305,middle,N Rana,2022,99502276.064,0.5354645271305485,0.013127469633248753
2022,N Pooran,Sunrisers Hyderabad,197,145,135.86,8,13,14.48,41,28.28,0.3996994471982469,0.2827233134854984,0.2643548564148862,0.4016884523089303,0.3771098326254382,0.4568350957274315,middle,N Pooran,2022,133706183.461,0.3416708815570097,0.00837641691456332
2019,CA Ingram,Delhi Capitals,122,107,114.02,13,3,14.95,45,42.06,0.2077645715310206,0.1875779446195077,0.2856951649179627,0.6988169877172851,0.1398606760508043,0.2195859391527976,middle,CA Ingram,2019,92432163.392,0.2375644268127156,0.005824138931548191
2018,YK Pathan,Sunrisers Hyderabad,107,100,107.0,9,3,12.0,40,40.0,0.2035335564928826,0.141704864185645,0.2193465031119331,0.6689154909728857,0.1154245068778091,0.1951497699798023,middle,YK Pathan,2018,28354577.097,0.6882478596390345,0.016873111886564086
2016,KK Nair,Delhi Capitals,171,149,114.77,16,1,11.41,41,27.52,0.3621576116544032,0.209758197434948,0.229770684658852,0.4229180343431022,0.314024078617157,0.3937493417191502,middle,KK Nair,2016,65455455.996,0.6015531260575319,0.014747700351737435
