season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct,runs_z,strike_rate_z,boundary_pct_z,dot_pct_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2015,BB McCullum,Chennai Super Kings,25,12,208.33,2,2,33.33,3,25.0,0.027708134386631472,0.5239891871947617,0.5323483189677893,0.5259624067652522,0.23348063409092193,0.5522376324082303,death,,,,
2018,AB de Villiers,Royal Challengers Bangalore,48,17,282.35,2,5,41.18,1,5.88,0.11374914551317558,0.7163714882486966,0.6232725496335358,0.24242783872422463,0.5391956899352597,0.8579526882525681,death,,,,
2021,B Kumar,Sunrisers Hyderabad,34,30,113.33,3,0,10.0,5,16.67,0.08148170179761362,0.2244465271400153,0.21360830056639166,0.33650971921778594,0.10688722749090168,0.42564422580821004,death,,,,
2022,Ramandeep Singh,Mumbai Indians,27,11,245.45,3,1,36.36,2,18.18,0.04484549736298557,0.6329900106023231,0.5631097591633315,0.3859999446316905,0.36690435308787317,0.6856613514051815,death,,,,
2023,RR Rossouw,Delhi Capitals,40,16,250.0,3,3,37.5,2,12.5,0.08729077684822993,0.619816905181362,0.5587813353536821,0.2986102053349821,0.4279313925413768,0.7466883908586852,death,RR Rossouw,2023.0,54421962.0858,0.7863211397389775
2015,KV Sharma,Sunrisers Hyderabad,67,45,148.89,1,6,15.56,13,28.89,0.2377809719859011,0.2842771759243775,0.24433782200752177,0.599215847759829,0.16597837304923455,0.4847353713665429,death,,,,
2023,AD Russell,Kolkata Knight Riders,115,69,166.67,8,10,26.09,30,43.48,0.39587721190398223,0.34827617252885995,0.3913448754977779,0.7954533723715829,0.290061969488316,0.6088189678056244,death,,,,
2013,Yuvraj Singh,Pune Warriors,62,35,177.14,2,6,22.86,13,37.14,0.18515661623568144,0.4301739561389449,0.38498134522180943,0.6792864100177037,0.2069921106174789,0.5257491089347872,death,,,,
2015,UT Yadav,Kolkata Knight Riders,29,14,207.14,5,1,42.86,5,35.71,0.04771507130084763,0.5191901075613202,0.6868075218958338,0.7276447597348965,0.21275146349612967,0.531508461813438,death,,,,
2017,RR Pant,Delhi Daredevils,41,17,241.18,2,5,41.18,7,41.18,0.1265027869205783,0.6379789086800031,0.6536520450605058,0.7811323687520368,0.3038343498938011,0.6225913482111094,death,,,,
2025,N Pooran,Lucknow Super Giants,97,45,215.56,10,6,35.56,9,20.0,0.30929516176838606,0.4896478003048781,0.5136838788797992,0.4152999223081236,0.4802452243078382,0.7990022226251465,death,,,,
2015,V Kohli,Royal Challengers Bangalore,32,12,266.67,4,2,50.0,3,25.0,0.06272027398650976,0.7592650744342336,0.8025303664820077,0.5259624067652522,0.46018290364482606,0.7789399019621344,death,,,,
2025,Abdul Samad,Lucknow Super Giants,77,43,179.07,4,6,23.26,8,18.6,0.22216976408715053,0.3665804843413269,0.3258127575791344,0.39297703960953767,0.30157906487030905,0.6203360631876174,death,Abdul Samad,2025.0,44079000.00000001,0.6841785541194424
2017,KH Pandya,Mumbai Indians,76,45,168.89,7,4,24.44,12,26.67,0.31370260149491175,0.3855652480563588,0.4080702434204527,0.5375665690668506,0.3511391506235043,0.6698961489408126,death,,,,
2017,SPD Smith,Rising Pune Supergiant,66,38,173.68,4,4,21.05,7,18.42,0.2602169401879593,0.4022904027719109,0.3583377280345639,0.39908153478685154,0.3571874580319515,0.6759444563492598,death,,,,
2023,Dhruv Jurel,Rajasthan Royals,125,60,208.33,8,9,28.33,8,13.33,0.4370220699114158,0.48403024575942805,0.4242158369418818,0.3119213682994875,0.5941289825716162,0.9128859808889245,death,,,,
2015,KK Nair,Rajasthan Royals,57,31,183.87,5,3,25.81,7,22.58,0.18776362970036067,0.4253459201073863,0.41046655548207117,0.48039085735474435,0.29386748751670533,0.6126244858340137,death,,,,
2016,DJ Bravo,Gujarat Lions,56,34,164.71,7,1,23.53,7,20.59,0.20897269613859318,0.34275154253406254,0.3883234535516598,0.4346162603884032,0.2812044600880425,0.5999614584053509,death,,,,
2021,KD Karthik,Kolkata Knight Riders,119,80,148.75,12,3,18.75,20,25.0,0.5160837476074995,0.3471244631847036,0.3398694140579374,0.4588095126283731,0.5048662488443834,0.8236232471616918,death,,,,
2024,AD Russell,Kolkata Knight Riders,96,44,218.18,10,6,36.36,10,22.73,0.2893487230986613,0.5067042520840094,0.5506718511276979,0.47425169913314236,0.4603319802059861,0.7790889785232944,death,,,,
2015,CJ Anderson,Mumbai Indians,44,18,244.44,2,4,33.33,3,16.67,0.12274108472915819,0.6696150406095257,0.5323483189677893,0.3690983544555289,0.4450655419962145,0.7638225403135228,death,,,,
2013,DA Miller,Kings XI Punjab,137,62,220.97,10,10,32.26,11,17.74,0.4760686775744161,0.5932099447071325,0.5344437260092817,0.3601026308498835,0.6937519798759302,1.0125089781932386,death,,,,
2015,MG Johnson,Kings XI Punjab,29,30,96.67,1,1,6.67,10,33.33,0.04771507130084763,0.07368226965688998,0.10025153512081503,0.6828264590749755,-0.1680419312246226,0.15071506709268576,death,,,,
2015,AM Rahane,Rajasthan Royals,52,31,167.74,6,1,22.58,7,22.58,0.1627549585575905,0.3602962104541007,0.3581157448359449,0.48039085735474435,0.22563045258200848,0.5443874508993168,death,,,,
2025,KL Rahul,Delhi Capitals,64,32,200.0,6,4,31.25,5,15.63,0.16553825559434748,0.43716965735083985,0.447852616050054,0.3456206384561087,0.34712296258347064,0.665879960900779,death,KL Rahul,2025.0,146930000.0,0.2362505700561292
2016,SPD Smith,Rising Pune Supergiants,39,21,185.71,5,1,28.57,5,23.81,0.11872125880584178,0.44490114775911144,0.4821132496109717,0.5025844176710966,0.261027788739082,0.5797847870563904,death,,,,
2021,RA Jadeja,Chennai Super Kings,160,81,197.53,13,9,27.16,12,14.81,0.7257153226452091,0.5160750481722782,0.46122438142524025,0.30920148203366926,0.8532965038164109,1.1720535021337193,death,,,,
2022,N Rana,Kolkata Knight Riders,42,22,190.91,2,4,27.27,6,27.27,0.10328682533578423,0.4337932180866573,0.4111842699573815,0.5137208079736014,0.21739302710972988,0.5361500254270383,death,N Rana,2022.0,99502276.06400001,0.21848045663789878
2022,R Shepherd,Sunrisers Hyderabad,33,17,194.12,2,3,29.41,5,29.41,0.06822202855210505,0.44551712171656715,0.4469511068001464,0.5437893060540954,0.19390579331837335,0.5126627916356817,death,R Shepherd,2022.0,96392829.937,0.2011620505851996
2015,MS Dhoni,Chennai Super Kings,179,105,170.48,12,13,23.81,35,33.33,0.7979752055839533,0.37134619213110015,0.3780511928528908,0.6828264590749755,0.6643380347585898,0.9830950330758981,death,,,,
2013,R Bhatia,Kolkata Knight Riders,67,38,176.32,5,3,21.05,9,23.68,0.20455075365826375,0.42712377337312435,0.3562018867935834,0.45783209725487584,0.3009302167492979,0.6196872150666062,death,,,,
2025,R Tewatia,Gujarat Titans,82,46,178.26,5,7,26.09,15,32.61,0.24395111350745943,0.36384865299217706,0.36903838955318974,0.6163653157575304,0.24125060786500083,0.5600076061823092,death,,,,
2013,MS Dhoni,Chennai Super Kings,240,117,205.13,17,16,28.21,26,22.22,0.8755879084796119,0.5342893410356725,0.4700477002444665,0.4338110499566791,0.935104887392194,1.2538618857095023,death,,,,
2022,N Pooran,Sunrisers Hyderabad,109,58,187.93,8,8,27.59,16,27.59,0.36432475694761823,0.4229093449349029,0.4165325820086361,0.5182170319856378,0.42058743983388164,0.73934443815119,death,N Pooran,2022.0,133706183.46100001,0.31456094919990024
2022,MK Lomror,Royal Challengers Bangalore,36,21,171.43,3,2,23.81,5,23.81,0.07991029414666478,0.3626462888933098,0.35335564590319146,0.46510538584345706,0.16521591919756132,0.4839729175148697,death,MK Lomror,2022.0,11815895.2826,1.3982513829557803
2020,CH Morris,Royal Challengers Bangalore,34,19,178.95,2,3,26.32,7,36.84,0.06810211011029244,0.4143856723045514,0.43095123203211466,0.6923368506626691,0.11402515358507637,0.4327821519023847,death,CH Morris,2020.0,138937234.53,0.08206954310757891
2022,MM Ali,Chennai Super Kings,32,23,139.13,4,1,21.74,10,43.48,0.06432594002058513,0.2446767913088579,0.31875875232163847,0.7414826555833237,-0.027166288865940913,0.29159070945136745,death,,,,
2014,DJ Hussey,Chennai Super Kings,26,16,162.5,1,2,18.75,4,25.0,0.0489966950625803,0.38755561985873005,0.3235236146258408,0.4936079730388287,0.13258906115165003,0.4513460594689584,death,,,,
2024,C Green,Royal Challengers Bengaluru,88,46,191.3,6,5,23.91,7,15.22,0.25752393649287425,0.405295494016716,0.33336849732521673,0.35479641812885576,0.36675887814868013,0.6855158764659885,death,,,,
2019,CA Ingram,Delhi Capitals,53,35,151.43,6,2,22.86,12,34.29,0.15836296476412834,0.30765614452533774,0.36905872956249924,0.6692307227006595,0.12354377386245746,0.4423007721797658,death,CA Ingram,2019.0,92432163.392,0.1336588578355726
2021,R Ashwin,Delhi Capitals,30,26,115.38,1,1,7.69,6,23.08,0.06102984081832488,0.2315467464763115,0.1802753666046236,0.43062036456734937,0.046431710047262986,0.36518870836457135,death,,,,
2018,YK Pathan,Sunrisers Hyderabad,133,82,162.2,10,8,21.95,27,32.93,0.45582229047672845,0.32378739712578414,0.3462341151426105,0.6626572587628992,0.3653588619818983,0.6841158602992067,death,YK Pathan,2018.0,28354577.097,1.2885357476220458
2021,DJ Bravo,Chennai Super Kings,47,18,261.11,3,4,38.89,4,22.22,0.14795024998030204,0.736285753246284,0.630486422711621,0.41799397533168253,0.508451413288197,0.8272084116055054,death,,,,
2021,MM Ali,Chennai Super Kings,55,26,211.54,4,4,30.77,5,19.23,0.1888539719388795,0.5645989861730146,0.5133161093914665,0.3740952499658175,0.43773940346872386,0.7564964017860323,death,MM Ali,2021.0,92828160.90100001,0.4715588450961202
2021,R Tewatia,Rajasthan Royals,45,38,118.42,2,3,13.16,16,42.11,0.1377243194906577,0.24207585222379463,0.25920659983876704,0.7100159310263499,0.02497298924551361,0.34372998756282197,death,,,,
2020,SPD Smith,Rajasthan Royals,47,29,162.07,7,0,24.14,7,24.14,0.11790181524127599,0.3463746707902187,0.3896556854022241,0.4838333175269149,0.19087216619803138,0.5096291645153397,death,,,,
2021,JO Holder,Sunrisers Hyderabad,43,37,116.22,2,2,10.81,15,40.54,0.1274983890010133,0.2344561046433792,0.2252964722153233,0.6869654297472836,0.012029533288183791,0.33078653160549215,death,,,,
2024,MM Ali,Chennai Super Kings,33,14,235.71,1,4,35.71,4,28.57,0.038728528578088464,0.5728387583682226,0.5393266961098977,0.5671436886224944,0.25234273543055363,0.571099733747862,death,,,,
2021,MS Dhoni,Chennai Super Kings,74,47,157.45,10,3,27.66,19,40.43,0.28600031159050104,0.37725710134361906,0.46843930219618574,0.6853504264729542,0.28382042001388436,0.6025774183311927,death,,,,
2014,GJ Maxwell,Kings XI Punjab,26,16,162.5,2,2,25.0,6,37.5,0.0489966950625803,0.38755561985873005,0.45678662491477245,0.703784976730077,0.08849716276183023,0.4072541610791386,death,,,,
2013,EJG Morgan,Kolkata Knight Riders,98,58,168.97,6,7,22.41,15,25.86,0.3247944056782741,0.3997837205331477,0.3778262312479411,0.49369914048095054,0.3755955979911953,0.6943525963085037,death,,,,
2024,PJ Cummins,Sunrisers Hyderabad,89,62,143.55,6,5,17.74,24,38.71,0.26150203481859763,0.22515158785178824,0.22567679507932845,0.7284321772221573,0.0981075894157078,0.41686458773301616,death,PJ Cummins,2024.0,227303333.75,0.04316152684483353
2017,Basil Thampi,Gujarat Lions,28,28,100.0,1,1,7.14,9,32.14,0.05697142722154014,0.14502330476734443,0.1542730410086894,0.6293863433106803,-0.08738383086076101,0.23137316745654735,death,Basil Thampi,2017.0,13258301.7816,-0.659087659190509
2018,SS Iyer,Delhi Daredevils,83,36,230.56,4,8,33.33,8,22.22,0.2546027934393444,0.5471502641183958,0.5101809370098351,0.4962743719379747,0.43180189913843403,0.7505588974557424,death,,,,
2015,SS Tiwary,Delhi Daredevils,83,53,156.6,7,4,20.75,9,16.98,0.31780871964276564,0.3153703725410441,0.32845568803024483,0.3749360322725775,0.360494455484777,0.6792514538020853,death,,,,
2022,D Pretorius,Chennai Super Kings,34,22,154.55,3,2,22.73,7,31.82,0.07211811708362495,0.3009953564095467,0.3353050927302073,0.577651493144745,0.0777231024328375,0.39648010075014584,death,D Pretorius,2022.0,6218892.254000001,1.2497901436199654
2013,RG Sharma,Mumbai Indians,197,88,223.86,11,18,32.95,22,25.0,0.708798326645404,0.6039599790891098,0.5454149007692132,0.4795497564559853,0.8408232185092479,1.1595802168265563,death,,,,
2013,R Sathish,Kings XI Punjab,61,36,169.44,5,3,22.22,9,25.0,0.181277788751165,0.4015319960208741,0.37480518312564115,0.4795497564559853,0.2664098813666673,0.5851668796839757,death,,,,
2025,SA Yadav,Mumbai Indians,83,43,193.02,7,6,30.23,15,34.88,0.2483073833915212,0.4136286909100181,0.432273059649511,0.6525602755616664,0.2741180598384127,0.5928750581557211,death,,,,
