name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,Unnamed: 0
M Siddharth,india,22.0,,bowler,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,7.89,71.0,54.0,kolkata-knight-riders,2020,2000000,605.0
NM Coulter-Nile,australia,33.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,mumbai-indians,2020,80000000,12.0
CA Lynn,australia,30.0,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.68,0,28,14,3,1329,34.08,140.64,10,132,66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,mumbai-indians,2020,20000000,92.0
M Shahrukh Khan,india,22.0,,bowler,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,25,8.33,104.17,0,2,1,0,0.0,0.0,0.0,27,8.51,25.52,18.0,mumbai-indians,2020,2000000,470.0
RV Uthappa,india,35.0,,wk-batsman,right-handed-bat,right-arm-medium,2,249,24.9,118.01,1,26,6,17,4952,27.51,130.36,27,481,182,0,0.0,0.0,0.0,0,0.0,0.0,0.0,rajasthan-royals,2020,30000000,86.0
JD Unadkat,india,29.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,rajasthan-royals,2020,30000000,23.0
YBK Jaiswal,india,19.0,,batsman,left-handed-bat,right-arm-legbreak,2,723,36.15,164.32,5,82,38,2,1607,32.14,150.61,9,198,64,0,11.0,0.0,0.0,0,0.0,0.0,0.0,rajasthan-royals,2020,24000000,612.0
Kartik Tyagi,india,20.0,,bowler,right-handed-bat,right-arm-fast,0,0,0.0,0.0,0,0,0,3,13,3.25,81.25,0,1,0,0,0.0,0.0,0.0,15,10.14,47.53,28.13,rajasthan-royals,2020,13000000,613.0
TK Curran,england,25.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,7,64,10.67,114.29,0,1,4,5,127,25.4,118.7,1,10,3,29,9.26,31.28,20.28,13,10.84,33.08,18.31,rajasthan-royals,2020,10000000,614.0
AJ Tye,australia,34.0,,bowler,right-handed-bat,right-arm-fast-medium,7,83,10.38,109.22,0,5,4,4,91,10.11,119.74,0,6,5,47,8.76,21.21,14.53,42,8.59,23.31,16.29,rajasthan-royals,2020,10000000,176.0
Anuj Rawat,india,21.0,,wk-batsman,left-handed-bat,,0,0,0.0,0.0,0,0,0,5,318,19.88,119.11,1,26,14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,rajasthan-royals,2020,8000000,616.0
DA Miller,south africa,31.0,,batsman,left-handed-bat,,36,2593,33.24,140.78,8,168,130,43,2924,36.1,139.24,13,207,134,0,0.0,0.0,0.0,0,0.0,0.0,0.0,rajasthan-royals,2020,7500000,425.0
Arshdeep Singh,india,18.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5,9.87,45.4,27.6,rajasthan-royals,2020,2000000,619.0
CH Morris,south africa,33.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,royal-challengers-bengaluru,2020,100000000,0.0
AJ Finch,australia,34.0,5.70894,batsman,right-handed-bat,left-arm-orthodox,12,3120,34.29,142.54,19,309,125,6,2091,24.89,128.21,15,214,78,0,13.5,0.0,0.0,1,9.35,67.0,43.0,royal-challengers-bengaluru,2020,44000000,153.0
KW Richardson,australia,29.0,,bowler,right-handed-bat,right-arm-fast-medium,3,17,4.25,100.0,0,0,0,1,36,12.0,92.31,0,2,1,45,8.4,23.53,16.8,19,8.45,24.84,17.63,royal-challengers-bengaluru,2020,40000000,17.0
DW Steyn,south africa,37.0,,bowler,right-handed-bat,right-arm-fast,6,21,3.5,80.77,0,2,0,15,167,7.59,104.38,0,14,3,64,6.95,18.36,15.86,97,6.92,25.86,22.43,royal-challengers-bengaluru,2020,20000000,248.0
I Udana,sri lanka,32.0,,bowling-allrounder,right-handed-bat,left-arm-fast-medium,11,256,18.29,137.64,1,16,14,1,15,5.0,136.37,0,1,1,27,8.7,33.89,23.37,8,9.72,35.25,21.75,royal-challengers-bengaluru,2020,5000000,624.0
Shahbaz Ahmed,india,26.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,536,19.14,121.82,1,28,25,2,7.69,20.5,16.0,21,9.35,39.86,25.57,royal-challengers-bengaluru,2020,2000000,625.0
JR Philippe,australia,23.0,,wk-batsman,right-handed-bat,,0,150,12.5,109.49,0,11,5,1,78,19.5,101.3,0,9,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,royal-challengers-bengaluru,2020,2000000,626.0
TU Deshpande,india,31.0,,batting-allrounder,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,royal-challengers-bengaluru,2020,2000000,509.0
MR Marsh,australia,29.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,11,1629,31.94,135.42,9,139,76,2,665,19.56,127.64,3,48,38,17,7.74,22.76,17.65,37,8.52,21.49,15.14,sunrisers-hyderabad,2020,20000000,287.0
PK Garg,india,20.0,,batsman,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,273,15.17,113.28,1,16,9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,sunrisers-hyderabad,2020,19000000,629.0
Virat Singh,india,23.0,,batsman,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,15,7.5,57.7,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,sunrisers-hyderabad,2020,19000000,630.0
FA Allen,west indies,25.0,,batting-allrounder,right-handed-bat,left-arm-orthodox,9,272,15.11,136.69,0,16,21,2,14,7.0,73.69,0,1,0,24,7.55,30.46,24.21,2,9.07,68.0,45.0,sunrisers-hyderabad,2020,5000000,631.0
SA Yadav,india,25.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11.5,0.0,0.0,sunrisers-hyderabad,2020,2000000,352.0
Abdul Samad,india,19.0,,batting-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,10,577,19.23,146.08,0,37,36,0,0.0,0.0,0.0,2,12.56,56.5,27.0,sunrisers-hyderabad,2020,2000000,634.0
K Gowtham,india,33.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,9,247,13.72,166.9,0,15,17,0,0.0,0.0,0.0,21,8.24,38.48,28.0,chennai-super-kings,2021,92500000,355.0
MM Ali,england,34.0,,batting-allrounder,left-handed-bat,right-arm-offbreak,17,1229,21.19,142.42,7,88,68,6,1162,22.78,141.54,6,95,67,51,8.31,27.14,19.59,35,7.07,25.51,21.66,chennai-super-kings,2021,70000000,502.0
CA Pujara,india,33.0,,batsman,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,3,390,20.53,99.75,1,50,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2021,5000000,74.0
Tilak Varma,india,23.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2021,2000000,638.0
A Ashish Reddy,india,23.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2021,2000000,640.0
TK Curran,england,26.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,7,64,10.67,114.29,0,1,4,5,127,25.4,118.7,1,10,3,29,9.26,31.28,20.28,13,10.84,33.08,18.31,delhi-capitals,2021,52500000,614.0
SPD Smith,australia,32.0,,batsman,right-handed-bat,right-arm-legbreak,11,1094,24.86,125.46,5,96,26,21,2485,34.51,128.1,11,225,60,17,7.79,22.24,17.12,0,0.0,0.0,0.0,delhi-capitals,2021,22000000,116.0
SW Billings,england,30.0,,wk-batsman,right-handed-bat,,5,478,17.07,129.9,2,41,16,1,503,19.35,129.64,3,40,20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2021,20000000,240.0
UT Yadav,india,34.0,,bowler,right-handed-bat,right-arm-fast,1,22,22.0,104.77,0,2,0,31,208,9.9,103.49,0,16,9,12,9.33,23.33,15.0,144,8.49,29.98,21.18,delhi-capitals,2021,10000000,91.0
RV Patel,india,26.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,80,16.0,109.59,0,6,2,0,0.0,0.0,0.0,0,7.33,0.0,0.0,delhi-capitals,2021,2000000,645.0
Vishnu Vinod,india,28.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,0,56,9.33,98.25,0,3,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2021,2000000,646.0
M Siddharth,india,23.0,,bowler,right-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,7.89,71.0,54.0,delhi-capitals,2021,2000000,605.0
Shakib Al Hasan,bangladesh,34.0,,batting-allrounder,left-handed-bat,left-arm-orthodox,16,2551,23.19,121.25,13,258,53,12,793,19.83,124.49,2,73,21,149,6.81,20.91,18.42,63,7.44,29.19,23.56,kolkata-knight-riders,2021,32000000,88.0
Harmeet Singh,india,41.0,,bowler,right-handed-bat,right-arm-offbreak,5,108,13.5,124.14,0,11,4,35,833,15.15,137.92,1,79,42,25,6.21,25.32,24.48,150,7.08,26.87,22.77,kolkata-knight-riders,2021,20000000,385.0
BCJ Cutting,australia,34.0,6.29952,bowling-allrounder,right-handed-bat,right-arm-fast-medium,1,40,10.0,148.15,0,2,3,6,238,21.64,168.8,0,15,19,3,10.24,71.67,42.0,10,9.16,42.9,28.1,kolkata-knight-riders,2021,7500000,123.0
KK Nair,india,30.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,5,1496,23.75,127.76,10,161,39,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2021,5000000,124.0
P Negi,india,28.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,kolkata-knight-riders,2021,5000000,47.0
VR Iyer,india,27.0,,batting-allrounder,left-handed-bat,right-arm-medium,3,133,33.25,162.2,0,15,5,7,1326,31.57,137.13,11,121,61,5,8.18,15.0,11.0,3,10.59,47.67,27.0,kolkata-knight-riders,2021,2000000,653.0
SP Jackson,india,35.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,2,61,10.17,107.02,0,5,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,kolkata-knight-riders,2021,2000000,199.0
VG Arora,india,24.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,6,9,4.5,56.25,0,0,0,0,0.0,0.0,0.0,19,9.18,30.84,20.16,kolkata-knight-riders,2021,2000000,655.0
NM Coulter-Nile,australia,34.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,mumbai-indians,2021,50000000,12.0
AF Milne,new zealand,29.0,,bowler,right-handed-bat,right-arm-fast,11,83,8.3,96.52,0,1,6,2,23,5.75,79.32,0,0,1,61,8.43,25.0,17.79,7,9.48,46.71,29.57,mumbai-indians,2021,32000000,221.0
JDS Neesham,new zealand,31.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,21,944,22.48,154.51,0,72,51,1,92,10.22,98.93,0,6,2,39,9.1,27.64,18.23,8,9.28,41.75,27.0,mumbai-indians,2021,5000000,61.0
M Jansen,south africa,21.0,,bowling-allrounder,right-handed-bat,left-arm-fast,3,166,18.44,149.55,1,13,11,6,66,9.43,100.0,0,5,2,16,8.14,31.63,23.31,20,9.53,35.75,22.5,mumbai-indians,2021,2000000,660.0
Arjun Tendulkar,india,22.0,,bowling-allrounder,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,13,13.0,144.45,0,0,1,0,0.0,0.0,0.0,3,9.37,38.0,24.33,mumbai-indians,2021,2000000,661.0
JA Richardson,australia,25.0,,bowler,right-handed-bat,right-arm-fast,5,45,15.0,88.24,0,3,1,0,17,5.67,65.39,0,2,0,19,8.42,29.26,20.84,3,10.47,52.33,30.0,punjab-kings,2021,140000000,662.0
RP Meredith,australia,25.0,,bowler,right-handed-bat,right-arm-fast,0,0,0.0,0.0,0,0,0,3,0,0.0,0.0,0,0,0,9,9.72,24.67,15.22,19,9.46,32.21,20.42,punjab-kings,2021,80000000,663.0
SN Khan,india,26.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,10,553,19.75,141.44,1,35,37,0,0.0,0.0,0.0,0,7.5,0.0,0.0,punjab-kings,2021,52500000,664.0
MC Henriques,australia,34.0,6.13547,batting-allrounder,right-handed-bat,right-arm-fast-medium,4,355,20.88,124.57,2,17,15,18,1000,27.78,126.91,5,87,28,7,8.43,27.71,19.71,42,8.14,30.69,22.62,punjab-kings,2021,42000000,24.0
DJ Malan,england,34.0,6.0,batsman,left-handed-bat,right-arm-legbreak,8,1892,36.38,132.5,16,194,62,0,26,26.0,100.0,0,1,1,1,13.5,27.0,12.0,0,0.0,0.0,0.0,punjab-kings,2021,15000000,666.0
FA Allen,west indies,26.0,,batting-allrounder,right-handed-bat,left-arm-orthodox,9,272,15.11,136.69,0,16,21,2,14,7.0,73.69,0,1,0,24,7.55,30.46,24.21,2,9.07,68.0,45.0,punjab-kings,2021,7500000,631.0
Jalaj S Saxena,india,35.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,9.0,0.0,0.0,punjab-kings,2021,3000000,106.0
Sumit Kumar,india,28.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2021,2000000,366.0
Karanveer Singh,india,23.0,,bowling-allrounder,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,punjab-kings,2021,2000000,670.0
CH Morris,south africa,34.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,rajasthan-royals,2021,162500000,0.0
C Sakariya,india,23.0,,bowler,left-handed-bat,left-arm-fast-medium,1,5,0.0,55.56,0,0,0,2,20,3.33,64.52,0,3,0,1,9.27,34.0,22.0,20,8.44,29.95,21.3,rajasthan-royals,2021,12000000,672.0
Mujeeb Ur Rahman,bangladesh,26.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,rajasthan-royals,2021,10000000,317.0
LS Livingstone,england,28.0,,batting-allrounder,right-handed-bat,right-arm-legbreak,9,955,25.13,148.99,2,54,59,6,939,28.45,162.46,6,66,66,33,8.73,25.39,17.45,11,9.14,35.73,23.45,rajasthan-royals,2021,7500000,567.0
KC Cariappa,india,27.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,2,24,8.0,114.29,0,0,2,0,0.0,0.0,0.0,8,9.67,43.5,27.0,rajasthan-royals,2021,2000000,196.0
Arshdeep Singh,india,19.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5,9.87,45.4,27.6,rajasthan-royals,2021,2000000,619.0
Kuldeep Yadav,india,27.0,,bowler,left-handed-bat,left-arm-wrist-spin,3,46,11.5,77.97,0,2,0,21,183,15.25,84.73,0,16,3,69,6.77,14.07,12.46,87,8.21,27.45,20.07,rajasthan-royals,2021,2000000,677.0
KA Jamieson,new zealand,27.0,,bowler,right-handed-bat,right-arm-fast-medium,3,49,24.5,148.49,0,7,0,3,65,16.25,118.19,0,5,3,10,9.29,41.2,26.6,9,9.61,29.89,18.67,royal-challengers-bengaluru,2021,150000000,678.0
DT Christian,australia,38.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,6,118,14.75,126.89,0,7,6,9,460,14.38,115.58,0,23,19,13,8.56,30.62,21.46,38,8.1,31.37,23.24,royal-challengers-bengaluru,2021,48000000,26.0
Sachin Baby,india,33.0,,batsman,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,2,144,16.0,122.04,0,11,5,0,0.0,0.0,0.0,2,4.8,4.0,5.0,royal-challengers-bengaluru,2021,2000000,313.0
RM Patidar,india,28.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,1,799,34.74,158.85,7,51,54,0,0.0,0.0,0.0,0,0.0,0.0,0.0,royal-challengers-bengaluru,2021,2000000,681.0
SS Prabhudessai,india,24.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,0,126,12.6,118.87,0,11,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,royal-challengers-bengaluru,2021,2000000,683.0
KS Bharat,india,28.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,2,199,28.43,122.09,1,12,8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,royal-challengers-bengaluru,2021,2000000,191.0
Mujeeb Ur Rahman,afghanistan,20.0,,bowler,right-handed-bat,right-arm-offbreak,8,54,9.0,122.73,0,6,3,4,12,4.0,80.0,0,2,0,63,6.34,18.11,17.14,19,8.18,31.16,22.84,sunrisers-hyderabad,2021,15000000,423.0
J Suchith,india,27.0,,bowler,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,6,70,17.5,114.76,0,6,3,0,0.0,0.0,0.0,19,8.6,31.68,22.11,sunrisers-hyderabad,2021,3000000,211.0
RV Uthappa,india,37.0,,wk-batsman,right-handed-bat,right-arm-medium,2,249,24.9,118.01,1,26,6,17,4952,27.51,130.36,27,481,182,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2022,20000000,86.0
DM Bravo,west indies,39.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,17,1255,22.02,115.14,4,73,55,44,1560,22.61,129.57,5,121,66,78,8.12,26.1,19.29,183,8.39,23.83,17.04,chennai-super-kings,2022,44000000,380.0
DL Chahar,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,5,53,26.5,189.29,0,4,4,6,80,11.43,135.6,0,2,6,31,8.3,24.1,17.42,77,7.98,28.84,21.68,chennai-super-kings,2022,140000000,299.0
N Jagadeesan,india,27.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,1,162,18.0,110.21,0,21,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2022,2000000,393.0
KM Asif,india,29.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7,10.42,33.0,19.0,chennai-super-kings,2022,2000000,392.0
TU Deshpande,india,27.0,,bowler,left-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,3,21,21.0,150.0,0,2,1,2,9.33,28.0,18.0,42,9.65,29.6,18.4,chennai-super-kings,2022,2000000,591.0
CJ Jordan,england,34.0,6.2,bowler,right-handed-bat,right-arm-fast-medium,25,439,13.72,129.12,0,31,21,3,81,8.1,105.2,0,3,3,108,8.74,26.35,18.08,30,9.61,35.67,22.27,chennai-super-kings,2022,36000000,375.0
M Theekshana,sri lanka,22.0,,bowler,right-handed-bat,right-arm-offbreak,9,66,3.88,64.08,0,4,2,1,7,7.0,100.0,0,0,1,58,6.88,26.57,23.17,25,7.66,31.88,24.96,chennai-super-kings,2022,7000000,695.0
RS Hangargekar,india,20.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3,10.0,20.0,12.0,chennai-super-kings,2022,15000000,696.0
Simarjeet Singh,india,24.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,7,7.0,87.5,0,0,0,0,0.0,0.0,0.0,9,8.63,28.78,20.0,chennai-super-kings,2022,2000000,697.0
DP Conway,new zealand,31.0,,wk-batsman,left-handed-bat,right-arm-medium,9,1408,38.05,127.77,10,135,37,3,924,48.63,141.29,9,99,30,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2022,10000000,698.0
D Pretorius,south africa,33.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,5,261,21.75,164.16,1,22,15,1,44,11.0,157.15,0,3,3,35,8.29,19.89,14.4,6,9.52,39.67,25.0,chennai-super-kings,2022,5000000,699.0
MJ Santner,new zealand,30.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,31,725,16.86,120.24,1,55,24,5,70,11.67,98.6,0,4,3,120,7.04,22.18,18.9,15,6.92,28.13,24.4,chennai-super-kings,2022,19000000,390.0
AF Milne,new zealand,30.0,,bowler,right-handed-bat,right-arm-fast,11,83,8.3,96.52,0,1,6,2,23,5.75,79.32,0,0,1,61,8.43,25.0,17.79,7,9.48,46.71,29.57,chennai-super-kings,2022,19000000,221.0
Mukesh Choudhary,india,26.0,,bowler,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,1,6,6.0,100.0,0,1,0,0,0.0,0.0,0.0,16,9.7,28.19,17.44,chennai-super-kings,2022,2000000,703.0
PH Solanki,india,22.0,,bowler,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2,6.33,19.0,18.0,chennai-super-kings,2022,12000000,704.0
Tilak Varma,india,24.0,,bowling-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,chennai-super-kings,2022,2000000,638.0
DA Warner,australia,36.0,5.5777,batsman,left-handed-bat,,12,3277,33.44,142.48,28,338,122,22,6565,40.52,139.78,62,664,235,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2022,62500000,150.0
MR Marsh,australia,31.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,11,1629,31.94,135.42,9,139,76,2,665,19.56,127.64,3,48,38,17,7.74,22.76,17.65,37,8.52,21.49,15.14,delhi-capitals,2022,65000000,287.0
Mujeeb Ur Rahman,bangladesh,27.0,,bowler,left-handed-bat,left-arm-fast-medium,13,87,4.58,74.36,0,3,5,8,13,13.0,56.53,0,0,1,132,7.52,21.62,17.26,61,8.14,28.89,21.28,delhi-capitals,2022,20000000,317.0
SN Thakur,india,31.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,3,69,23.0,181.58,0,5,4,12,307,12.28,138.92,1,27,13,33,9.15,23.39,15.33,94,9.23,30.52,19.85,delhi-capitals,2022,107500000,82.0
Kuldeep Yadav,india,28.0,,bowler,left-handed-bat,left-arm-wrist-spin,3,46,11.5,77.97,0,2,0,21,183,15.25,84.73,0,16,3,69,6.77,14.07,12.46,87,8.21,27.45,20.07,delhi-capitals,2022,20000000,677.0
SN Khan,india,25.0,,batsman,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,11,585,22.5,130.59,1,63,14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2022,2000000,222.0
KL Nagarkoti,india,23.0,,bowler,right-handed-bat,right-arm-fast,0,0,0.0,0.0,0,0,0,3,22,5.5,66.67,0,1,0,0,0.0,0.0,0.0,5,9.5,57.0,36.0,delhi-capitals,2022,11000000,441.0
KS Bharat,india,29.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,2,199,28.43,122.09,1,12,8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2022,20000000,191.0
Mandeep Singh,india,31.0,,batsman,right-handed-bat,right-arm-medium,1,87,43.5,119.18,1,11,1,16,1706,20.8,122.92,6,176,38,0,0.0,0.0,0.0,0,13.0,0.0,0.0,delhi-capitals,2022,11000000,80.0
KK Ahmed,india,25.0,,bowler,right-handed-bat,left-arm-fast-medium,2,1,0.0,50.0,0,0,0,0,1,0.2,14.29,0,0,0,16,8.52,35.13,24.75,74,8.84,25.42,17.24,delhi-capitals,2022,52500000,244.0
L Ngidi,south africa,26.0,,bowler,right-handed-bat,right-arm-fast,8,41,8.2,78.85,0,4,0,0,0,0.0,0.0,0,0,0,63,9.24,20.95,13.6,25,8.3,17.92,12.96,delhi-capitals,2022,5000000,391.0
C Sakariya,india,24.0,,bowler,left-handed-bat,left-arm-fast-medium,1,5,0.0,55.56,0,0,0,2,20,3.33,64.52,0,3,0,1,9.27,34.0,22.0,20,8.44,29.95,21.3,delhi-capitals,2022,42000000,672.0
YV Dhull,india,20.0,,batsman,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,16,5.33,69.57,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2022,5000000,719.0
RV Patel,india,27.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,2,80,16.0,109.59,0,6,2,0,0.0,0.0,0.0,0,7.33,0.0,0.0,delhi-capitals,2022,2000000,645.0
Lalit Yadav,india,25.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,5,305,19.06,105.18,0,27,7,0,0.0,0.0,0.0,10,8.85,42.5,28.8,delhi-capitals,2022,6500000,592.0
R Powell,west indies,29.0,,batsman,right-handed-bat,right-arm-fast-medium,11,1747,25.69,140.33,8,99,117,3,360,18.95,147.55,1,21,28,5,9.94,43.4,26.2,1,11.67,35.0,18.0,delhi-capitals,2022,28000000,350.0
TL Seifert,new zealand,28.0,,wk-batsman,right-handed-bat,,7,1291,25.31,134.76,9,111,58,0,26,8.67,113.05,0,4,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2022,5000000,724.0
P Dubey,india,29.0,,bowling-allrounder,right-handed-bat,right-arm-legbreak,0,0,0.0,0.0,0,0,0,1,23,23.0,69.7,0,2,0,0,0.0,0.0,0.0,1,8.27,91.0,66.0,delhi-capitals,2022,5000000,309.0
