name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,Unnamed: 0
MJ Henry,new zealand,23.0,,bowler,right-handed-bat,right-arm-fast-medium,3,24,6.0,88.89,0,2,1,0,0,0.0,0.0,0,0,0,27,8.3,23.67,17.11,2,10.65,90.5,51.0,chennai-super-kings,2014,3000000,42.0
M Manhas,india,35.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,15,514,22.35,109.37,0,43,10,0,0.0,0.0,0.0,0,6.0,0.0,0.0,chennai-super-kings,2014,3000000,43.0
V Shankar,india,23.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,chennai-super-kings,2014,1000000,44.0
RG More,india,22.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,2,0.0,100.0,0,0,0,0,0.0,0.0,0.0,1,10.11,59.0,35.0,chennai-super-kings,2014,1000000,45.0
P Negi,india,21.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,chennai-super-kings,2014,1000000,47.0
KD Karthik,india,29.0,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,50,4842,26.32,135.37,22,466,161,0,18.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2014,125000000,48.0
KP Pietersen,england,34.0,6.4,batsman,right-handed-bat,right-arm-offbreak,5,1176,37.94,141.52,7,119,32,8,1001,35.75,134.73,4,91,40,1,10.6,53.0,30.0,7,7.41,30.71,24.86,delhi-capitals,2014,90000000,49.0
M Vijay,india,30.0,,batsman,right-handed-bat,right-arm-offbreak,0,169,18.78,109.75,0,13,8,5,2619,25.93,121.88,13,247,91,0,4.5,0.0,0.0,0,8.17,0.0,0.0,delhi-capitals,2014,50000000,50.0
Mohammed Shami,india,24.0,,bowler,right-handed-bat,right-arm-fast,3,7,3.5,70.0,0,0,1,12,74,5.69,93.68,0,6,2,27,8.95,28.19,18.89,127,8.44,26.86,19.1,delhi-capitals,2014,42500000,51.0
NM Coulter-Nile,australia,27.0,,bowler,right-handed-bat,right-arm-fast,4,150,13.64,125.0,0,10,10,6,82,6.83,113.89,0,7,4,34,8.27,23.59,17.12,48,7.7,22.92,17.85,delhi-capitals,2014,42500000,12.0
Q de Kock,south africa,22.0,,wk-batsman,left-handed-bat,,9,2584,31.51,138.33,16,264,103,6,3157,31.26,134.23,23,316,123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,delhi-capitals,2014,35000000,33.0
MK Tiwary,india,29.0,,batsman,right-handed-bat,right-arm-legbreak,0,15,15.0,88.24,0,0,0,26,1695,28.73,116.98,7,156,40,0,0.0,0.0,0.0,1,11.86,83.0,42.0,delhi-capitals,2014,28000000,54.0
JD Unadkat,india,23.0,,bowler,right-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,16,197,12.31,118.68,0,16,7,14,8.68,21.5,14.86,99,8.98,32.21,21.53,delhi-capitals,2014,28000000,23.0
JP Duminy,south africa,30.0,,batting-allrounder,left-handed-bat,right-arm-offbreak,25,1934,38.68,126.25,11,138,71,26,2029,39.78,124.03,14,126,79,21,7.76,28.52,22.05,23,7.38,36.26,29.48,delhi-capitals,2014,22000000,56.0
LRPL Taylor,new zealand,30.0,,batsman,right-handed-bat,right-arm-offbreak,19,1909,25.45,122.38,7,122,71,14,1017,25.43,123.73,3,66,46,0,0.0,0.0,0.0,0,12.0,0.0,0.0,delhi-capitals,2014,20000000,57.0
