season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2017,Mohammad Nabi,Sunrisers Hyderabad,2,3,66.67,0,0,0.00,2,66.67
2019,AD Russell,Kolkata Knight Riders,305,115,265.22,17,34,44.35,34,29.57
2019,Gurkeerat Singh,Royal Challengers Bengaluru,26,16,162.50,2,2,25.00,4,25.00
2018,CR Brathwaite,Sunrisers Hyderabad,69,35,197.14,1,8,25.71,11,31.43
2023,MA Agarwal,Sunrisers Hyderabad,1,2,50.00,0,0,0.00,1,50.00
2024,R Ashwin,Rajasthan Royals,5,6,83.33,0,0,0.00,1,16.67
2014,SP Narine,Kolkata Knight Riders,4,6,66.67,0,0,0.00,2,33.33
2021,GJ Maxwell,Royal Challengers Bengaluru,121,67,180.60,15,4,28.36,19,28.36
2016,SR Watson,Royal Challengers Bengaluru,49,25,196.00,4,4,32.00,9,36.00
2013,SK Trivedi,Rajasthan Royals,3,7,42.86,0,0,0.00,5,71.43
2023,VR Iyer,Kolkata Knight Riders,9,9,100.00,1,0,11.11,3,33.33
2014,S Gopal,Mumbai Indians,11,10,110.00,1,0,10.00,2,20.00
2017,AT Rayudu,Mumbai Indians,27,10,270.00,3,2,50.00,2,20.00
2016,CR Brathwaite,Delhi Capitals,62,27,229.63,6,5,40.74,7,25.93
2015,BE Hendricks,Punjab Kings,1,2,50.00,0,0,0.00,1,50.00
2024,JC Buttler,Rajasthan Royals,56,29,193.10,2,5,24.14,9,31.03
2022,SN Thakur,Delhi Capitals,69,46,150.00,3,5,17.39,15,32.61
2016,MM Sharma,Punjab Kings,7,9,77.78,0,0,0.00,4,44.44
2024,M Jansen,Sunrisers Hyderabad,1,1,100.00,0,0,0.00,0,0.00
2021,HH Pandya,Mumbai Indians,70,42,166.67,7,4,26.19,18,42.86
2017,P Kumar,Gujarat Titans,8,9,88.89,0,0,0.00,1,11.11
2025,VR Iyer,Kolkata Knight Riders,42,15,280.00,6,2,53.33,1,6.67
2020,DJ Hooda,Punjab Kings,59,36,163.89,4,3,19.44,7,19.44
2023,Sandeep Sharma,Rajasthan Royals,2,5,40.00,0,0,0.00,3,60.00
2021,GD Phillips,Rajasthan Royals,14,5,280.00,1,1,40.00,0,0.00
2022,MK Lomror,Royal Challengers Bengaluru,36,21,171.43,3,2,23.81,5,23.81
2024,LS Livingstone,Punjab Kings,58,29,200.00,5,4,31.03,5,17.24
2025,GJ Maxwell,Punjab Kings,5,4,125.00,1,0,25.00,2,50.00
2018,PP Chawla,Kolkata Knight Riders,9,16,56.25,0,0,0.00,7,43.75
2021,SO Hetmyer,Delhi Capitals,133,65,204.62,9,9,27.69,13,20.00
