Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
433,533,GH Vihari,india,26.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,3,284,14.2,88.48,0,23,1,0,0.0,0.0,0.0,1,6.71,47.0,42.0,Delhi Capitals,2019,20000000,1.389372345,27787446.91
720,534,SE Rutherford,west indies,21.0,,batting-allrounder,left-handed-bat,right-arm-fast-medium,6,428,25.18,143.15,2,26,29,2,106,15.14,101.93,0,3,8,1,10.29,72.0,42.0,1,8.63,59.0,41.0,Delhi Capitals,2019,20000000,1.389372345,27787446.91
738,560,SL Malinga,sri lanka,36.0,,bowler,right-handed-bat,right-arm-fast,12,136,6.48,84.48,0,9,5,9,88,5.5,88.89,0,6,5,107,7.42,20.79,16.81,170,7.14,19.79,16.63,Mumbai Indians,2019,20000000,1.389372345,27787446.91
185,519,YK Pathan,india,36.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,5,236,18.15,146.59,0,11,17,44,3204,29.13,142.98,13,262,158,13,8.62,33.69,23.46,42,7.4,33.69,27.31,Sunrisers Hyderabad,2018,19000000,1.444252553,27440798.51
596,460,RD Chahar,india,19.0,,bowler,right-handed-bat,right-arm-legbreak,0,5,5.0,100.0,0,1,0,8,129,8.06,104.04,0,13,5,7,7.59,23.86,18.86,75,7.72,28.55,22.19,Mumbai Indians,2018,19000000,1.444252553,27440798.51
643,407,C Munro,new zealand,31.0,,batsman,left-handed-bat,right-arm-medium,7,1724,31.35,156.45,11,132,107,0,177,14.75,125.54,0,19,8,4,9.46,46.5,29.5,0,7.5,0.0,0.0,Delhi Capitals,2018,19000000,1.444252553,27440798.51
246,643,SPD Smith,australia,32.0,,batsman,right-handed-bat,right-arm-legbreak,11,1094,24.86,125.46,5,96,26,21,2485,34.51,128.1,11,225,60,17,7.79,22.24,17.12,0,0.0,0.0,0.0,Delhi Capitals,2021,22000000,1.243778451,27363125.92
199,608,CA Lynn,australia,30.0,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.68,0,28,14,3,1329,34.08,140.64,10,132,66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Mumbai Indians,2020,20000000,1.326116584,26522331.69
232,584,JR Hazlewood,australia,29.0,6.43076,bowler,left-handed-bat,right-arm-fast-medium,7,29,9.67,107.41,0,2,1,6,19,0.0,67.86,0,1,0,67,7.49,22.1,17.7,35,8.06,23.14,17.23,Chennai Super Kings,2020,20000000,1.326116584,26522331.69
454,624,DW Steyn,south africa,37.0,,bowler,right-handed-bat,right-arm-fast,6,21,3.5,80.77,0,2,0,15,167,7.59,104.38,0,14,3,64,6.95,18.36,15.86,97,6.92,25.86,22.43,Royal Challengers Bengaluru,2020,20000000,1.326116584,26522331.69
496,629,MR Marsh,australia,29.0,,batting-allrounder,right-handed-bat,right-arm-fast-medium,11,1629,31.94,135.42,9,139,76,2,665,19.56,127.64,3,48,38,17,7.74,22.76,17.65,37,8.52,21.49,15.14,Sunrisers Hyderabad,2020,20000000,1.326116584,26522331.69
81,39,IC Pandey,india,25.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18,7.68,32.83,25.67,Chennai Super Kings,2014,15000000,1.745533373,26183000.59
126,61,LR Shukla,india,33.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,7,405,15.0,115.72,0,33,15,0,0.0,0.0,0.0,15,8.54,29.8,20.93,Delhi Capitals,2014,15000000,1.745533373,26183000.59
301,138,AB Dinda,india,30.0,,bowler,right-handed-bat,right-arm-fast-medium,1,22,22.0,91.67,0,1,0,7,26,2.6,54.17,0,2,0,17,8.17,14.41,10.59,69,8.2,30.04,21.97,Royal Challengers Bengaluru,2014,15000000,1.745533373,26183000.59
670,445,Shubman Gill,india,19.0,,batsman,right-handed-bat,right-arm-offbreak,2,578,30.42,139.28,3,60,22,15,3216,37.84,135.7,20,310,95,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2018,18000000,1.444252553,25996545.95
803,630,PK Garg,india,20.0,,batsman,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,273,15.17,113.28,1,16,9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sunrisers Hyderabad,2020,19000000,1.326116584,25196215.1
804,631,Virat Singh,india,23.0,,batsman,left-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,15,7.5,57.7,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Sunrisers Hyderabad,2020,19000000,1.326116584,25196215.1
