name,team,year,price
peter handscomb,lucknow-super-giants,2016,3000000
adam zampa,lucknow-super-giants,2016,3000000
ishwar pandey,lucknow-super-giants,2016,2000000
deepak chahar,lucknow-super-giants,2016,1000000
jaskaran singh,lucknow-super-giants,2016,1000000
baba aparajith,lucknow-super-giants,2016,1000000
ankush bains,lucknow-super-giants,2016,1000000
ankit sharma,lucknow-super-giants,2016,1000000
shane watson,royal-challengers-bengaluru,2016,95000000
stuart binny,royal-challengers-bengaluru,2016,20000000
kane richardson,royal-challengers-bengaluru,2016,20000000
samuel badree,royal-challengers-bengaluru,2016,5000000
travis head,royal-challengers-bengaluru,2016,5000000
praveen dubey,royal-challengers-bengaluru,2016,3500000
vikramjeet singh malik,royal-challengers-bengaluru,2016,2000000
akshay karnewar,royal-challengers-bengaluru,2016,1000000
iqbal abdulla,royal-challengers-bengaluru,2016,1000000
sachin baby,royal-challengers-bengaluru,2016,1000000
vikas tokas,royal-challengers-bengaluru,2016,1000000
yuvraj singh,sunrisers-hyderabad,2016,70000000
ashish nehra,sunrisers-hyderabad,2016,55000000
mustafizur rahman,sunrisers-hyderabad,2016,14000000
ben cutting,sunrisers-hyderabad,2016,5000000
vijay shankar,sunrisers-hyderabad,2016,3500000
abhimanyu mithun,sunrisers-hyderabad,2016,3000000
tirumalsetti suman,sunrisers-hyderabad,2016,1000000
kagiso rabada,delhi-capitals,2017,50000000
pat cummins,delhi-capitals,2017,45000000
angelo mathews,delhi-capitals,2017,20000000
corey anderson,delhi-capitals,2017,10000000
murugan ashwin,delhi-capitals,2017,10000000
ankit bawne,delhi-capitals,2017,1000000
navdeep saini,delhi-capitals,2017,1000000
shashank singh,delhi-capitals,2017,1000000
jason roy,gujarat-titans,2017,10000000
basil thampi,gujarat-titans,2017,8500000
manpreet gony,gujarat-titans,2017,6000000
nathu singh,gujarat-titans,2017,5000000
munaf patel,gujarat-titans,2017,3000000
akshdeep nath,gujarat-titans,2017,1000000
shubham agarwal,gujarat-titans,2017,1000000
chirag suri,gujarat-titans,2017,1000000
pratham singh,gujarat-titans,2017,1000000
shelley shaurya,gujarat-titans,2017,1000000
