season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2020,CV Varun,Kolkata Knight Riders,10,15,66.67,0,0,0.0,5,33.33
2023,Vijaykumar Vyshak,Royal Challengers Bangalore,13,9,144.44,0,1,11.11,2,22.22
2023,Shubman Gill,Gujarat Titans,80,40,200.0,3,6,22.5,4,10.0
2021,Harbhajan Singh,Kolkata Knight Riders,4,4,100.0,0,0,0.0,1,25.0
2023,JD Unadkat,Lucknow Super Giants,9,7,128.57,1,0,14.29,1,14.29
2024,Swapnil Singh,Royal Challengers Bengaluru,22,12,183.33,1,2,25.0,3,25.0
2014,MM Sharma,Chennai Super Kings,1,3,33.33,0,0,0.0,2,66.67
2022,RM Patidar,Royal Challengers Bangalore,20,10,200.0,1,2,30.0,4,40.0
2025,Fazalhaq Farooqi,Rajasthan Royals,2,2,100.0,0,0,0.0,0,0.0
2021,J Suchith,Sunrisers Hyderabad,14,6,233.33,2,1,50.0,1,16.67
2016,Ishan Kishan,Gujarat Lions,6,8,75.0,1,0,12.5,4,50.0
2024,VG Arora,Kolkata Knight Riders,1,1,100.0,0,0,0.0,0,0.0
2013,CL White,Sunrisers Hyderabad,43,22,195.45,1,4,22.73,3,13.64
2022,RD Gaikwad,Chennai Super Kings,7,7,100.0,0,0,0.0,2,28.57
2013,AM Nayar,Pune Warriors,22,28,78.57,2,0,7.14,12,42.86
2025,Naman Dhir,Mumbai Indians,173,84,205.95,19,10,34.52,22,26.19
2014,BB McCullum,Chennai Super Kings,10,8,125.0,1,0,12.5,1,12.5
2021,TG Southee,Kolkata Knight Riders,3,5,60.0,0,0,0.0,3,60.0
2017,A Mishra,Delhi Daredevils,37,32,115.63,2,2,12.5,12,37.5
2018,Mujeeb Ur Rahman,Kings XI Punjab,10,7,142.86,2,0,28.57,2,28.57
2021,PWH de Silva,Royal Challengers Bangalore,1,1,100.0,0,0,0.0,0,0.0
2025,MA Agarwal,Royal Challengers Bengaluru,4,4,100.0,0,0,0.0,0,0.0
2019,CH Morris,Delhi Capitals,13,19,68.42,0,1,5.26,11,57.89
2019,CA Lynn,Kolkata Knight Riders,5,5,100.0,1,0,20.0,3,60.0
2019,Rasikh Salam,Mumbai Indians,5,4,125.0,0,0,0.0,1,25.0
2015,YK Pathan,Kolkata Knight Riders,91,51,178.43,9,4,25.49,10,19.61
2013,DPMD Jayawardene,Delhi Daredevils,27,15,180.0,4,1,33.33,5,33.33
2016,GJ Bailey,Rising Pune Supergiants,0,2,0.0,0,0,0.0,1,50.0
2024,KL Rahul,Lucknow Super Giants,8,8,100.0,1,0,12.5,4,50.0
2021,Shubman Gill,Kolkata Knight Riders,1,5,20.0,0,0,0.0,4,80.0
2019,B Kumar,Sunrisers Hyderabad,12,18,66.67,1,0,5.56,8,44.44
2020,MM Ali,Royal Challengers Bangalore,1,2,50.0,0,0,0.0,1,50.0
2020,Gurkeerat Singh,Royal Challengers Bangalore,39,36,108.33,4,0,11.11,12,33.33
