season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI
2021,JA Richardson,Punjab Kings,0,24,10.25,12,50.0,7,29.17,0.01838402696657395,0.43440759615835267,0.5968596707764687,0.42570331043020904,-0.09571051848241663,0.5573665501124894,powerplay,JA Richardson,2021,185656321.80200002,0.3002141509120887
2021,Jalaj S Saxena,Punjab Kings,0,6,10.0,2,33.33,2,33.33,0.01838402696657395,0.42148157257384766,0.39895520860498257,0.485663464445775,-0.16061087614472314,0.49246619245018286,powerplay,Jalaj S Saxena,2021,3978349.7529,12.378655046384543
2021,JDS Neesham,Mumbai Indians,2,12,5.5,5,41.67,1,8.33,0.1811249776003867,0.18881314805275817,0.49796679915748376,0.12532600040992115,0.3016057320394619,0.954682800634368,powerplay,JDS Neesham,2021,6630582.9215,14.398173010381345
2021,KA Jamieson,Royal Challengers Bengaluru,4,96,9.19,45,46.88,25,26.04,0.3438659282341994,0.3796012561600515,0.559819363519418,0.38058905993292,0.41782626134051476,1.0709033299354207,powerplay,KA Jamieson,2021,198917487.645,0.5383656020463211
2021,M Jansen,Mumbai Indians,0,18,10.33,6,33.33,5,27.78,0.01838402696657395,0.43854392370539425,0.39895520860498257,0.4056685474298155,-0.15314306830730454,0.4999340002876015,powerplay,M Jansen,2021,2652233.1686,18.8495493611331
2021,MC Henriques,Punjab Kings,0,18,5.0,11,61.11,2,11.11,0.01838402696657395,0.16296110088374824,0.7287564059129541,0.1653955264107081,0.1316433064997314,0.7847203750946374,powerplay,MC Henriques,2021,55696896.5406,1.4089122084614158
2021,MM Ali,Chennai Super Kings,0,6,4.0,2,33.33,0,0.0,0.01838402696657395,0.11125700654572834,0.39895520860498257,0.005261557393174691,0.09058178827985658,0.7436588568747626,powerplay,MM Ali,2021,92828160.90100001,0.8011134225398097
2021,Mujeeb Ur Rahman,Sunrisers Hyderabad,0,6,13.0,1,16.67,2,33.33,0.01838402696657395,0.5765938555879073,0.20116946536701263,0.485663464445775,-0.2975027406231439,0.3555743279717621,powerplay,Mujeeb Ur Rahman,2021,13261165.843,2.6813202713957045
2021,Mujeeb Ur Rahman,Sunrisers Hyderabad,0,6,13.0,1,16.67,2,33.33,0.01838402696657395,0.5765938555879073,0.20116946536701263,0.485663464445775,-0.2975027406231439,0.3555743279717621,powerplay,Mujeeb Ur Rahman,2021,19891748.7645,1.7875468475971363
2021,NM Coulter-Nile,Mumbai Indians,2,30,8.2,12,40.0,7,23.33,0.1811249776003867,0.3284142027654119,0.4781407372602803,0.34152847883143345,0.1826168904296715,0.8356939590245775,powerplay,NM Coulter-Nile,2021,66305829.215,1.2603627296701134
