season,player,team,runs,strike_rate,fours,sixes,boundary_pct,dot_pct,impact_score_pos,phase,adj_price,ROI_z
2024,R Ravindra,Chennai Super Kings,161,167.71,19,8,28.13,36.46,0.784417331,bat_pp,19958341.5,0.049931256
2025,AM Rahane,Kolkata Knight Riders,266,172.73,31,15,29.87,38.96,0.955275042,bat_pp,15742500,0.078112153
2018,G Gambhir,Delhi Capitals,55,98.21,6,1,12.5,42.86,0.329743318,bat_pp,41785692.56,0.008525151
2014,V Sehwag,Punjab Kings,221,133.13,29,8,22.29,43.98,1.031265848,bat_pp,61984588.28,0.020054213
2018,JC Buttler,Rajasthan Royals,218,186.32,25,11,30.77,25.64,1.14434516,bat_pp,65663231.17,0.021095622
2014,WP Saha,Punjab Kings,110,127.91,13,4,19.77,45.35,0.699421454,bat_pp,42614404.44,0.019758067
2023,HC Brook,Sunrisers Hyderabad,73,105.8,8,2,14.49,50.72,0.326419624,bat_pp,156758912.5,0.000867818
2014,NV Ojha,Sunrisers Hyderabad,39,111.43,5,2,20,54.29,0.418645324,bat_pp,9685091.919,0.055102518
2022,AM Rahane,Kolkata Knight Riders,81,109.46,7,4,14.86,45.95,0.428885542,bat_pp,12437784.51,0.043577257
2025,R Ravindra,Chennai Super Kings,103,133.77,13,0,16.88,29.87,0.543806658,bat_pp,41980000,0.015198663
2022,WP Saha,Gujarat Titans,191,144.7,25,6,23.48,35.61,0.933614702,bat_pp,23631790.57,0.05020016
2015,MEK Hussey,Chennai Super Kings,31,100,3,1,12.9,41.94,0.32577985,bat_pp,26183000.59,0.014524374
2018,PA Patel,Royal Challengers Bengaluru,116,170.59,16,4,29.41,33.82,0.841694448,bat_pp,25369884.77,0.041856289
2020,SM Curran,Chennai Super Kings,45,140.63,4,3,21.88,46.88,0.545181385,bat_pp,76415478.99,0.007527468
2016,SV Samson,Delhi Capitals,97,85.84,10,0,8.85,46.02,0.316646939,bat_pp,68728228.8,0.004196144
2024,TM Head,Sunrisers Hyderabad,395,227.01,46,24,40.23,23.56,1.480308963,bat_pp,75398179,0.024003185
2022,JM Bairstow,Punjab Kings,148,174.12,19,8,31.76,42.35,0.954822585,bat_pp,83955045.43,0.013114711
2022,D Brevis,Mumbai Indians,75,136.36,10,3,23.64,49.09,0.557656454,bat_pp,37313353.52,0.017823538
2022,F du Plessis,Royal Challengers Bengaluru,206,119.08,27,3,17.34,42.2,0.791734179,bat_pp,87064491.56,0.010110078
2014,KP Pietersen,Delhi Capitals,176,141.94,22,5,21.77,33.06,1.011723156,bat_pp,174331654.5,0.005772967
2025,Aniket Verma,Sunrisers Hyderabad,30,142.86,3,1,19.05,33.33,0.437791813,bat_pp,3148500,0.181413705
2023,N Jagadeesan,Kolkata Knight Riders,73,121.67,12,1,21.67,51.67,0.424728444,bat_pp,10647775.19,0.050703985
2024,Naman Dhir,Mumbai Indians,44,129.41,6,2,23.53,50,0.381606719,bat_pp,2217593.5,0.224958278
2016,DR Smith,Gujarat Titans,155,150.49,17,7,23.3,39.81,0.818920333,bat_pp,37636887.2,0.026804634
2022,RA Tripathi,Sunrisers Hyderabad,177,145.08,21,7,22.95,40.16,0.866463813,bat_pp,105721168.3,0.008926471
2018,SP Goswami,Sunrisers Hyderabad,44,146.67,6,1,23.33,30,0.608275646,bat_pp,14923461.63,0.051851796
2022,AK Markram,Sunrisers Hyderabad,42,85.71,3,1,8.16,46.94,0.199738453,bat_pp,32338239.72,0.006264784
2020,EJG Morgan,Kolkata Knight Riders,48,104.35,8,1,19.57,60.87,0.290257358,bat_pp,72942048.13,0.003368395
2014,CJ Anderson,Mumbai Indians,40,95.24,4,2,14.29,52.38,0.306155026,bat_pp,87165827.27,0.002752857
2018,SA Yadav,Mumbai Indians,262,137.89,31,12,22.63,43.16,0.927514784,bat_pp,47755077.22,0.023725192
2016,AJ Finch,Gujarat Titans,120,134.83,19,2,23.6,40.45,0.708252116,bat_pp,16363864,0.055175974
2022,PBB Rajapaksa,Punjab Kings,78,177.27,9,5,31.82,38.64,0.828193293,bat_pp,6218892.254,0.173670713
2015,M Vijay,Punjab Kings,182,121.33,21,7,18.67,47.33,0.709807688,bat_pp,52366001.18,0.015990625
2018,F du Plessis,Chennai Super Kings,82,115.49,11,2,18.31,47.89,0.448515077,bat_pp,23877538.61,0.022883723
2025,RR Pant,Lucknow Super Giants,90,126.76,11,4,21.13,50.7,0.403500534,bat_pp,283365000,0
2022,R Ashwin,Rajasthan Royals,49,148.48,7,2,27.27,45.45,0.592683097,bat_pp,62188922.54,0.010685746
2020,RA Tripathi,Kolkata Knight Riders,104,130,11,5,20,45,0.624076371,bat_pp,8336234.072,0.096806434
2022,RV Uthappa,Chennai Super Kings,118,124.21,13,5,18.95,47.37,0.586093336,bat_pp,24875569.02,0.029180733
