season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2023,A Mishra,Lucknow Super Giants,6,18,33.33,0,0,0.00,12,66.67
2016,A Mishra,Delhi Capitals,4,14,28.57,0,0,0.00,10,71.43
2024,SD Hope,Delhi Capitals,79,45,175.56,2,7,20.00,12,26.67
2013,RA Jadeja,Chennai Super Kings,112,82,136.59,8,2,12.20,19,23.17
2018,Shakib Al Hasan,Sunrisers Hyderabad,150,132,113.64,15,2,12.88,45,34.09
2017,RA Tripathi,Lucknow Super Giants,79,62,127.42,6,4,16.13,22,35.48
2013,R Rampaul,Royal Challengers Bengaluru,9,8,112.50,1,0,12.50,3,37.50
2019,AD Russell,Kolkata Knight Riders,205,131,156.49,14,18,24.43,58,44.27
2019,Gurkeerat Singh,Royal Challengers Bengaluru,57,42,135.71,7,0,16.67,8,19.05
2018,CR Brathwaite,Sunrisers Hyderabad,6,13,46.15,0,0,0.00,7,53.85
2023,MA Agarwal,Sunrisers Hyderabad,110,82,134.15,7,4,13.41,17,20.73
2024,R Ashwin,Rajasthan Royals,80,66,121.21,5,4,13.64,23,34.85
2014,SP Narine,Kolkata Knight Riders,6,8,75.00,0,0,0.00,2,25.00
2021,GJ Maxwell,Royal Challengers Bengaluru,332,238,139.50,26,15,17.23,70,29.41
2016,SR Watson,Royal Challengers Bengaluru,123,97,126.80,9,8,17.53,43,44.33
2023,MR Marsh,Delhi Capitals,45,36,125.00,3,2,13.89,12,33.33
2023,VR Iyer,Kolkata Knight Riders,224,143,156.64,12,13,17.48,29,20.28
2017,AT Rayudu,Mumbai Indians,45,40,112.50,3,1,10.00,12,30.00
2016,CR Brathwaite,Delhi Capitals,21,11,190.91,0,3,27.27,5,45.45
2020,AJ Tye,Rajasthan Royals,6,6,100.00,0,1,16.67,5,83.33
2020,DR Sams,Delhi Capitals,0,2,0.00,0,0,0.00,2,100.00
2024,JC Buttler,Rajasthan Royals,95,62,153.23,9,3,19.35,17,27.42
2022,SN Thakur,Delhi Capitals,51,41,124.39,4,2,14.63,14,34.15
2016,MM Sharma,Punjab Kings,25,17,147.06,3,1,23.53,5,29.41
2024,M Jansen,Sunrisers Hyderabad,17,12,141.67,1,1,16.67,4,33.33
2021,HH Pandya,Mumbai Indians,53,62,85.48,4,1,8.06,29,46.77
2025,VR Iyer,Kolkata Knight Riders,91,70,130.00,9,2,15.71,25,35.71
2020,DJ Hooda,Punjab Kings,42,35,120.00,1,2,8.57,11,31.43
2023,Sandeep Sharma,Rajasthan Royals,0,1,0.00,0,0,0.00,1,100.00
2021,GD Phillips,Rajasthan Royals,5,13,38.46,0,0,0.00,9,69.23
2022,MK Lomror,Royal Challengers Bengaluru,44,33,133.33,4,1,15.15,7,21.21
2024,LS Livingstone,Punjab Kings,52,47,110.64,3,3,12.77,21,44.68
2025,GJ Maxwell,Punjab Kings,39,39,100.00,4,1,12.82,16,41.03
2018,PP Chawla,Kolkata Knight Riders,18,18,100.00,1,1,11.11,9,50.00
2021,SO Hetmyer,Delhi Capitals,109,77,141.56,10,3,16.88,20,25.97
2023,Abhishek Sharma,Sunrisers Hyderabad,79,55,143.64,8,2,18.18,14,25.45
2022,Simarjeet Singh,Chennai Super Kings,2,3,66.67,0,0,0.00,2,66.67
2013,M Rawat,Lucknow Super Giants,2,6,33.33,0,0,0.00,4,66.67
2016,KL Rahul,Royal Challengers Bengaluru,185,121,152.89,15,9,19.83,29,23.97
2021,E Lewis,Rajasthan Royals,15,13,115.38,2,0,15.38,5,38.46
2013,GH Vihari,Sunrisers Hyderabad,138,144,95.83,9,1,6.94,51,35.42
2019,CH Gayle,Punjab Kings,156,101,154.46,10,11,20.79,29,28.71
2025,F du Plessis,Delhi Capitals,43,37,116.22,3,1,10.81,11,29.73
2018,KA Pollard,Mumbai Indians,94,63,149.21,8,6,22.22,25,39.68
2018,GJ Maxwell,Delhi Capitals,71,49,144.90,3,5,16.33,16,32.65
2018,V Kohli,Royal Challengers Bengaluru,189,143,132.17,14,6,13.99,36,25.17
2025,M Tiwari,Delhi Capitals,3,4,75.00,0,0,0.00,2,50.00
2022,DA Warner,Delhi Capitals,163,108,150.93,14,7,19.44,27,25.00
2022,HV Patel,Royal Challengers Bengaluru,9,11,81.82,1,0,9.09,6,54.55
2013,UBT Chand,Delhi Capitals,65,66,98.48,6,0,9.09,22,33.33
2015,Shakib Al Hasan,Kolkata Knight Riders,32,20,160.00,5,0,25.00,6,30.00
2022,MS Wade,Gujarat Titans,41,41,100.00,4,0,9.76,15,36.59
2023,TA Boult,Rajasthan Royals,14,9,155.56,1,1,22.22,3,33.33
2023,Abdul Samad,Sunrisers Hyderabad,52,57,91.23,2,2,7.02,23,40.35
2021,SV Samson,Rajasthan Royals,274,184,148.91,22,11,17.93,42,22.83
2023,JO Holder,Rajasthan Royals,11,9,122.22,0,1,11.11,3,33.33
2023,F du Plessis,Royal Challengers Bengaluru,292,209,139.71,17,13,14.35,47,22.49
2020,AJ Finch,Royal Challengers Bengaluru,50,48,104.17,3,2,10.42,19,39.58
2014,RA Jadeja,Chennai Super Kings,67,51,131.37,6,2,15.69,15,29.41
