season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2023,Sandeep Sharma,Rajasthan Royals,1,54,8.56,11,20.37,8,14.81,0.06987445723666,0.2894231506042541,0.3019920823357632,0.1956006861208088,-0.075249347151846,0.8527557414456712,middle,Sandeep Sharma,2023,2366172.2646,36.03946146287152,0.35832381735624774
2023,Sikandar Raza,Punjab Kings,3,61,9.44,15,24.59,10,16.39,0.1582019412499898,0.3172889093999559,0.3570421384448748,0.2113443897066759,0.0483155479471471,0.9763206365446644,middle,Sikandar Raza,2023,5915430.661499999,16.50464171440554,0.1640980742538473
2023,SM Curran,Punjab Kings,3,90,11.87,21,23.33,25,27.78,0.1582019412499898,0.3942364024380873,0.3406053918340974,0.3248385566959326,-0.0408723038644424,0.8871327847330748,middle,SM Curran,2023,218870934.4755,0.4053223361333886,0.004029933879358694
2023,Tilak Varma,Mumbai Indians,0,6,7.0,3,50.0,1,16.67,0.0257107152299952,0.2400247600118734,0.6885165284288861,0.2141344131269561,0.0102743407387686,0.938279429336286,middle,Tilak Varma,2023,2366172.2646,39.65389347909128,0.3942604552818942
2023,Vivrant Sharma,Sunrisers Hyderabad,0,18,12.33,5,27.78,3,16.67,0.0257107152299952,0.4088025945358406,0.3986558064515256,0.2141344131269561,-0.2117061434736133,0.716298945123904,middle,Vivrant Sharma,2023,30760239.4398,2.3286520461771847,0.02315271806545365
2023,Yash Thakur,Lucknow Super Giants,3,66,8.64,19,28.79,11,16.67,0.1582019412499898,0.2919564014038633,0.4118312938141329,0.2141344131269561,0.0844602962707426,1.01246538486826,middle,Yash Thakur,2023,5323887.59535,19.017407237383622,0.18908134808112867
2024,A Kamboj,Mumbai Indians,1,24,11.0,8,33.33,5,20.83,0.0629669451086748,0.3560244677155636,0.5025535679558125,0.2435320503943468,-0.0883094962015642,0.839695592395953,middle,A Kamboj,2024,2217593.5,37.86517197114589,0.37647601864222563
2024,A Mishra,Lucknow Super Giants,1,12,10.0,5,41.67,3,25.0,0.0629669451086748,0.3242665706375354,0.6180833784687566,0.2806041337540084,-0.0356586520571907,0.8923464365403266,middle,A Mishra,2024,24393528.5,3.658127755237733,0.03637108459525759
2024,Abhishek Sharma,Sunrisers Hyderabad,2,24,6.0,8,33.33,2,8.33,0.1088793408141586,0.1972349823254225,0.5025535679558125,0.1324047021939225,0.1298161553088591,1.0578212439063766,middle,Abhishek Sharma,2024,2217593.5,47.70131423574143,0.4742722647914647
2024,Arshad Khan,Lucknow Super Giants,0,6,18.0,1,16.67,3,50.0,0.0170545494031911,0.578329747261761,0.2717709968352315,0.502858830154857,-0.4561224406850241,0.4718826479124932,middle,Arshad Khan,2024,2217593.5,21.27904180421223,0.21156774212133253
