season,player,wickets,adj_price,price_per_wicket_adj
2023,MM Sharma,27,5543983.750000000000000000,205332.73
2023,Arshdeep Singh,17,6652780.500000000000000000,391340.03
2023,Yash Thakur,13,4989585.375000000000000000,383814.26
2023,M Markande,12,5543983.750000000000000000,461998.65
2023,SM Curran,10,205127398.750000000000000000,20512739.88
2023,Sandeep Sharma,10,2217593.500000000000000000,221759.35
2023,I Sharma,10,5543983.750000000000000000,554398.38
2024,HV Patel,24,123316250.000000000000000000,5138177.08
2024,Arshdeep Singh,19,2099000.000000000000000000,110473.68
2024,PJ Cummins,18,215147500.000000000000000000,11952638.89
2024,Yash Dayal,15,52475000.000000000000000000,3498333.33
2024,G Coetzee,13,52475000.000000000000000000,4036538.46
2024,Sandeep Sharma,13,2099000.000000000000000000,161461.54
