season,player,runs,adj_price,price_per_run_adj
2022,Tilak Varma,397,2366172.264500000000000000,5960.13
2022,AK Markram,381,30760239.438500000000000000,80735.54
2022,D Padikkal,376,91689175.249375000000000000,243854.19
2022,N Rana,361,94646890.580000000000000000,262179.75
2022,KD Karthik,330,65069737.273750000000000000,197181.02
2022,WP Saha,317,22478636.512750000000000000,70910.53
2022,SO Hetmyer,314,100562321.241250000000000000,320262.17
2022,N Pooran,306,127181759.216875000000000000,415626.66
2022,SA Yadav,303,5915430.661250000000000000,19522.87
2022,JM Bairstow,253,79858313.926875000000000000,315645.51
2022,DP Conway,252,11830861.322500000000000000,46947.86
2022,MR Marsh,251,76900598.596250000000000000,306376.89
2022,R Powell,250,33126411.703000000000000000,132505.65
2022,JM Sharma,234,2366172.264500000000000000,10111.85
2022,RV Uthappa,230,23661722.645000000000000000,102877.05
2022,Shahbaz Ahmed,219,28394067.174000000000000000,129653.27
2022,R Tewatia,217,106477751.902500000000000000,490680.88
2022,PBB Rajapaksa,206,5915430.661250000000000000,28715.68
2022,R Ashwin,191,59154306.612500000000000000,309708.41
2022,TH David,186,97604605.910625000000000000,524755.95
2022,KH Pandya,183,97604605.910625000000000000,533358.50
2022,R Parag,183,44957273.025500000000000000,245668.16
2022,AR Patel,182,2366172.264500000000000000,13000.95
2022,RK Singh,174,6506973.727375000000000000,37396.40
2022,SW Billings,169,23661722.645000000000000000,140010.19
2022,A Badoni,161,2366172.264500000000000000,14696.72
2022,D Brevis,161,35492583.967500000000000000,220450.83
2022,Lalit Yadav,161,7690059.859625000000000000,47764.35
2022,MS Wade,157,28394067.174000000000000000,180853.93
2023,SA Yadav,605,2217593.500000000000000000,3665.44
2023,H Klaasen,448,58211829.375000000000000000,129937.12
2023,N Pooran,358,177407480.000000000000000000,495551.62
2023,Tilak Varma,343,2217593.500000000000000000,6465.29
2023,AM Rahane,326,5543983.750000000000000000,17006.09
2023,SM Curran,276,205127398.750000000000000000,743215.21
2023,MA Agarwal,270,91475731.875000000000000000,338799.01
2023,PD Salt,218,22175935.000000000000000000,101724.47
2023,RR Rossouw,209,51004650.500000000000000000,244041.39
2023,HC Brook,190,146915569.375000000000000000,773239.84
2024,TM Head,567,71366000.000000000000000000,125865.96
2024,Abhishek Sharma,484,2099000.000000000000000000,4336.78
2024,T Stubbs,378,5247500.000000000000000000,13882.28
2024,DJ Mitchell,318,146930000.000000000000000000,462044.03
2024,R Ravindra,222,18891000.000000000000000000,85094.59
2024,RR Rossouw,211,83960000.000000000000000000,397914.69
2024,SD Hope,183,7871250.000000000000000000,43012.30
2024,RK Singh,168,2099000.000000000000000000,12494.05
2024,A Raghuvanshi,163,2099000.000000000000000000,12877.30
