season,player,runs,wickets,allrounder_score,adj_price,price_per_allrounder_score_adj
2016,CR Brathwaite,83,7,1.8295630487999417,65511608.80209054,35807243.07
2016,A Nehra,1,9,1.7311834707888447,85789011.52654713,49555123.98
2016,Iqbal Abdulla,37,6,1.3675945492920472,1559800.2095735841,1140542.87
2016,R Bhatia,34,6,1.3499684014122733,9358801.257441504,6932607.64
2016,KW Richardson,1,7,1.347781673419455,31196004.191471685,23146185.18
2016,BCJ Cutting,65,5,1.3404043641519088,7799001.047867921,5818394.25
2016,Sachin Baby,119,2,1.0825723299337544,1559800.2095735841,1440827.71
2016,PV Tambe,7,5,0.9996321718096132,3119600.4191471683,3120748.32
2016,MR Marsh,7,4,0.8079312731249184,74870410.05953203,92669280.85
2016,P Sahu,19,3,0.6867349659593192,1559800.2095735841,2271327.79
2016,KC Cariappa,13,3,0.6514826701997714,12478401.676588673,19153850.51
2016,STR Binny,63,1,0.5618500041599468,31196004.191471685,55523723.34
2016,P Negi,57,1,0.526597708400399,132583017.81375466,251772872.72
2016,JO Holder,22,2,0.5126602151543982,10918601.46701509,21297930.18
2016,KJ Abbott,13,2,0.4597817715150765,32755804.40104527,71242068.37
2016,SB Jakati,1,2,0.3892771799959809,3119600.4191471683,8013828.14
2016,R Sathish,24,1,0.332710081722886,3119600.4191471683,9376332.7
2017,BA Stokes,316,12,4.1858760556856085,216390193.63583016,51695317.96
2017,JD Unadkat,2,24,4.074892061945652,4477038.489017176,1098688.85
2017,P Negi,144,16,3.689640264129981,14923461.630057255,4044692.86
2017,CR Woakes,46,17,3.190458613513445,62678538.84624047,19645620.41
2017,PJ Cummins,77,15,3.0634538065636305,67155577.33525765,21921524.39
2017,Rashid Khan,11,17,2.951744166323136,59693846.52022902,20223245.36
2017,NM Coulter-Nile,14,15,2.6337678016210737,52232115.70520039,19831708.65
2017,KV Sharma,49,13,2.5340446457787227,47755077.216183215,18845396.94
2017,DT Christian,79,11,2.4002194260520424,14923461.630057255,6217540.56
2017,Basil Thampi,28,11,2.052378374431877,12684942.385548666,6180606.14
2017,CJ Anderson,142,3,1.4761550188639587,14923461.630057255,10109684.58
2017,K Rabada,55,6,1.3904355118256089,74617308.15028627,53664702.55
2017,MG Johnson,20,7,1.3209398661516296,29846923.26011451,22595217.26
2017,VR Aaron,4,7,1.211813261721774,41785692.56416031,34481956.82
2017,A Choudhary,25,5,1.0166043270032994,29846923.26011451,29359429.69
2017,TS Mills,8,5,0.9006573097965778,179081539.56068704,198834270.94
2017,R Tewatia,19,3,0.6372442473094435,3730865.4075143137,5854686.68
2017,LH Ferguson,1,3,0.5144768173258559,7461730.815028627,14503531.67
2017,RD Chahar,3,2,0.3588988413632579,1492346.1630057255,4158124.77
2017,Mohammad Nabi,2,2,0.3520784285863919,4477038.489017176,12716026.11
2018,AJ Tye,32,24,4.192435288707233,103986183.81536072,24803288.94
2018,SR Watson,555,6,4.1702345429776875,57770102.11964485,13852962.35
2018,Rashid Khan,59,21,3.845320360881767,129982729.7692009,33802835.02
2018,Shakib Al Hasan,239,14,3.703189385474942,28885051.059822425,7800046.95
2018,S Kaul,3,21,3.5256877459551688,54881597.01366261,15566210.33
2018,UT Yadav,3,20,3.358613242614429,60658607.22562709,18060610.99
2018,KH Pandya,228,12,3.306255400861452,127094224.66321866,38440534.46
2018,Kuldeep Yadav,12,17,2.908759259991129,83766648.07348502,28798068.38
2018,SN Thakur,15,16,2.758807932450028,37550566.37776915,13611156.45
2018,M Markande,21,15,2.625979780708567,2888505.1059822426,1099972.33
2018,K Gowtham,126,11,2.55699292033298,89543658.2854495,35019126.4
2018,BA Stokes,196,8,2.4553101789690097,180531569.12389013,73526990.87
2018,N Rana,304,4,2.4034464943930622,49104586.80169812,20430904.92
2018,Mujeeb Ur Rahman,10,14,2.396120299435817,57770102.11964485,24109850.47
2018,R Ashwin,102,10,2.2529330105951275,109763194.0273252,48720132.16
2018,S Gopal,50,11,2.1232058000754543,2888505.1059822426,1360445.18
2018,JD Unadkat,49,11,2.117498074808908,166089043.5939789,78436455.54
2018,A Mishra,1,12,2.0106017653554207,57770102.11964485,28732742.16
2018,DL Chahar,50,10,1.9561312967347149,11554020.423928969,5906566.93
2018,YK Pathan,260,1,1.6510830726428023,27440798.506831303,16619877.56
2018,HV Patel,60,7,1.5119850393779604,2888505.1059822426,1910405.88
2018,B Laughlin,1,9,1.509378255333202,7221262.764955606,4784263.15
2018,CR Woakes,17,8,1.4336273562572048,106874688.92134295,74548444.16
2018,V Shankar,212,1,1.3771122598485754,46216081.69571588,33560141.06
2018,R Tewatia,50,6,1.2878332833717567,43327576.58973363,33643777.61
2018,CR Brathwaite,75,5,1.2634519116946772,28885051.059822425,22862010.65
2018,MM Sharma,10,7,1.2265987760506405,34662061.271786906,28258679.16
2018,TG Southee,52,5,1.13217423056411,14442525.529911213,12756451.38
2018,C de Grandhomme,131,2,1.0818610165990568,31773556.165804666,29369351.22
